nome,nota,setor,data_ingestao
Sadia,"4,2",Pecuária,2025-04-08
Alltech,"4,1",Pecuária,2025-04-08
Chethan's Charters- GD FEA Employer,"4,3",Pecuária,2025-04-08
Biomin,"4,4",Pecuária,2025-04-08
MilkPoint Ventures,"4,1",Pecuária,2025-04-08
Big Dutchman,"4,0",Pecuária,2025-04-08
Serviço Nacional de Aprendizagem Rural,"4,1",Pecuária,2025-04-08
Vaccinar Nutrição e Saúde Animal,"4,4",Pecuária,2025-04-08
Basso Pancotte,"4,5",Pecuária,2025-04-08
Wisenetix,"4,2",Pecuária,2025-04-08
Grupo FASA,"4,1",Pecuária,2025-04-08
MS Schippers,"4,2",Pecuária,2025-04-08
Algar Farming,"4,9",Pecuária,2025-04-08
Santiago & Cintra Geotecnologias,"4,0",Pecuária,2025-04-08
National Pork Board,"4,6",Pecuária,2025-04-08
Agropecuaria Vista Alegre,"4,1",Pecuária,2025-04-08
Suinobras Alimentos,"4,6",Pecuária,2025-04-08
Agromix,"4,5",Pecuária,2025-04-08
Minitube,"4,4",Pecuária,2025-04-08
Vitasal,"5,0",Pecuária,2025-04-08
Agropecuária,"4,0",Pecuária,2025-04-08
Confboi,"4,4",Pecuária,2025-04-08
Lassa,"4,0",Pecuária,2025-04-08
Quimivita Fertilizantes,"4,3",Pecuária,2025-04-08
Geraleite Nutrição Animal,"5,0",Pecuária,2025-04-08
Fazendas Reunidas,"5,0",Pecuária,2025-04-08
Sustennutri,"4,5",Pecuária,2025-04-08
Granja São José (Brazil),"5,0",Pecuária,2025-04-08
NutriQuest,"5,0",Pecuária,2025-04-08
Agropecuária Carboni,"4,6",Pecuária,2025-04-08
Metra Industrial,"5,0",Pecuária,2025-04-08
Complemento Nutrição Animal,"4,5",Pecuária,2025-04-08
Nelore Machadinho,"4,6",Pecuária,2025-04-08
CRV,"4,0",Pecuária,2025-04-08
Condominio Rural Canto Porto,"5,0",Pecuária,2025-04-08
Reafrio,"5,0",Pecuária,2025-04-08
Moreno Ranches,"5,0",Pecuária,2025-04-08
Empresa Marinho de Agropecuária,"4,0",Pecuária,2025-04-08
Grupo Cinco Estrelas,"5,0",Pecuária,2025-04-08
Fazenda Real,"5,0",Pecuária,2025-04-08
Granjas Caramuru,"5,0",Pecuária,2025-04-08
Agropecuária Fazenda Brasil,"5,0",Pecuária,2025-04-08
Granja Bampi,"5,0",Pecuária,2025-04-08
Agroara Agronegocios,"5,0",Pecuária,2025-04-08
Chácara Marujo,"5,0",Pecuária,2025-04-08
Cabanha Azul,"5,0",Pecuária,2025-04-08
Top Eggs,"5,0",Pecuária,2025-04-08
Senepol (Brazil),"5,0",Pecuária,2025-04-08
