nome,nota,setor,data_ingestao
S&P Global,"4,1",Pesquisa e desenvolvimento,2025-04-08
Venturus Centro de Inovação Tecnológica,"4,5",Pesquisa e desenvolvimento,2025-04-08
FAPESP,"4,7",Pesquisa e desenvolvimento,2025-04-08
Butantan Institute,"4,2",Pesquisa e desenvolvimento,2025-04-08
SPC Brasil,"4,6",Pesquisa e desenvolvimento,2025-04-08
LACTEC,"4,1",Pesquisa e desenvolvimento,2025-04-08
Fitch Ratings,"4,0",Pesquisa e desenvolvimento,2025-04-08
Guiabolso,"4,1",Pesquisa e desenvolvimento,2025-04-08
INDT,"4,5",Pesquisa e desenvolvimento,2025-04-08
CTC - Centro de Tecnologia Canavieira,"4,2",Pesquisa e desenvolvimento,2025-04-08
Morningstar,"4,0",Pesquisa e desenvolvimento,2025-04-08
IAV,"4,2",Pesquisa e desenvolvimento,2025-04-08
Global Estratégias Financeiras,"4,1",Pesquisa e desenvolvimento,2025-04-08
"Realize Crédito, Financiamento e Investimento","4,1",Pesquisa e desenvolvimento,2025-04-08
Bom Pra Crédito,"4,0",Pesquisa e desenvolvimento,2025-04-08
VIRTUS (Brazil),"4,5",Pesquisa e desenvolvimento,2025-04-08
Brasilcap,"4,1",Pesquisa e desenvolvimento,2025-04-08
FAPEMIG,"4,2",Pesquisa e desenvolvimento,2025-04-08
Centers for Disease Control and Prevention,"4,0",Pesquisa e desenvolvimento,2025-04-08
Fundação Arthur Bernardes (Funarbe),"4,1",Pesquisa e desenvolvimento,2025-04-08
Quanto,"4,1",Pesquisa e desenvolvimento,2025-04-08
IMF,"4,1",Pesquisa e desenvolvimento,2025-04-08
IMEC (Belgium),"4,1",Pesquisa e desenvolvimento,2025-04-08
Lawrence Berkeley Lab,"4,3",Pesquisa e desenvolvimento,2025-04-08
Konduto,"4,4",Pesquisa e desenvolvimento,2025-04-08
CWI,"4,2",Pesquisa e desenvolvimento,2025-04-08
CSEM,"4,0",Pesquisa e desenvolvimento,2025-04-08
Galapos,"4,1",Pesquisa e desenvolvimento,2025-04-08
Academia Sinica,"4,1",Pesquisa e desenvolvimento,2025-04-08
Argonne National Laboratory,"4,3",Pesquisa e desenvolvimento,2025-04-08
Empa,"4,2",Pesquisa e desenvolvimento,2025-04-08
RTI International,"4,0",Pesquisa e desenvolvimento,2025-04-08
Comdinheiro,"4,0",Pesquisa e desenvolvimento,2025-04-08
Instituto Creathus,"4,1",Pesquisa e desenvolvimento,2025-04-08
Encore Capital Group,"4,1",Pesquisa e desenvolvimento,2025-04-08
RAND,"4,0",Pesquisa e desenvolvimento,2025-04-08
ICR,"4,3",Pesquisa e desenvolvimento,2025-04-08
Wallet Hub,"4,0",Pesquisa e desenvolvimento,2025-04-08
Stepwise,"4,3",Pesquisa e desenvolvimento,2025-04-08
4blue,"4,0",Pesquisa e desenvolvimento,2025-04-08
IFF Research,"4,0",Pesquisa e desenvolvimento,2025-04-08
Brain - Centro de Inovação em Negócios Digitais,"4,4",Pesquisa e desenvolvimento,2025-04-08
Comunica.In,"4,5",Pesquisa e desenvolvimento,2025-04-08
QuiteJá,"4,5",Pesquisa e desenvolvimento,2025-04-08
IFP Energies Nouvelles,"4,3",Pesquisa e desenvolvimento,2025-04-08
DLR,"4,2",Pesquisa e desenvolvimento,2025-04-08
Camara de Dirigentes Lojistas da Região Metropolitana de São Paulo,"4,5",Pesquisa e desenvolvimento,2025-04-08
Cadence,"4,2",Pesquisa e desenvolvimento,2025-04-08
J.D. Power,"4,0",Pesquisa e desenvolvimento,2025-04-08
Catarinas Design,"4,5",Pesquisa e desenvolvimento,2025-04-08
Expertise (Brazil),"4,1",Pesquisa e desenvolvimento,2025-04-08
Sioux Technologies,"4,2",Pesquisa e desenvolvimento,2025-04-08
CapitalVia,"4,4",Pesquisa e desenvolvimento,2025-04-08
Professional Data Analysts,"4,2",Pesquisa e desenvolvimento,2025-04-08
Princeton Plasma Physics Laboratory,"4,2",Pesquisa e desenvolvimento,2025-04-08
Le Card,"4,4",Pesquisa e desenvolvimento,2025-04-08
Forschungszentrum Jülich,"4,2",Pesquisa e desenvolvimento,2025-04-08
OpenAI,"4,5",Pesquisa e desenvolvimento,2025-04-08
Leve (Brazil),"4,8",Pesquisa e desenvolvimento,2025-04-08
Clarity AI,"4,3",Pesquisa e desenvolvimento,2025-04-08
ABG,"4,0",Pesquisa e desenvolvimento,2025-04-08
