nome,nota,setor,data_ingestao
Stone,"4,0",Processamento de transações financeiras,2025-04-08
PagBank,"4,0",Processamento de transações financeiras,2025-04-08
Cielo,"4,0",Processamento de transações financeiras,2025-04-08
Mastercard,"4,2",Processamento de transações financeiras,2025-04-08
American Express,"4,1",Processamento de transações financeiras,2025-04-08
Edenred,"4,0",Processamento de transações financeiras,2025-04-08
Embracon,"4,0",Processamento de transações financeiras,2025-04-08
DM,"4,2",Processamento de transações financeiras,2025-04-08
Ame Digital,"4,0",Processamento de transações financeiras,2025-04-08
Sem Parar,"4,0",Processamento de transações financeiras,2025-04-08
"CloudWalk, Inc.","4,4",Processamento de transações financeiras,2025-04-08
Vindi,"4,1",Processamento de transações financeiras,2025-04-08
APPMAX,"4,0",Processamento de transações financeiras,2025-04-08
Remessa Online,"4,5",Processamento de transações financeiras,2025-04-08
Swile,"4,3",Processamento de transações financeiras,2025-04-08
Vórtx,"4,1",Processamento de transações financeiras,2025-04-08
iugu,"4,1",Processamento de transações financeiras,2025-04-08
Pismo,"4,5",Processamento de transações financeiras,2025-04-08
Pluxee,"4,0",Processamento de transações financeiras,2025-04-08
Trustly,"4,0",Processamento de transações financeiras,2025-04-08
CREDZ,"4,1",Processamento de transações financeiras,2025-04-08
Efí,"4,2",Processamento de transações financeiras,2025-04-08
Belvo,"4,5",Processamento de transações financeiras,2025-04-08
Bitso,"4,0",Processamento de transações financeiras,2025-04-08
Hash,"4,0",Processamento de transações financeiras,2025-04-08
Acesso Soluções de Pagamento,"4,0",Processamento de transações financeiras,2025-04-08
PPRO,"4,2",Processamento de transações financeiras,2025-04-08
Evoluservices - Meios de pagamento,"4,2",Processamento de transações financeiras,2025-04-08
Ticket Log,"4,1",Processamento de transações financeiras,2025-04-08
Evertec,"4,1",Processamento de transações financeiras,2025-04-08
PagBrasil Pagamentos Eletrônicos,"4,8",Processamento de transações financeiras,2025-04-08
Checkout.com,"4,0",Processamento de transações financeiras,2025-04-08
Somapay,"4,4",Processamento de transações financeiras,2025-04-08
One7,"4,3",Processamento de transações financeiras,2025-04-08
Tino,"4,0",Processamento de transações financeiras,2025-04-08
Zapay,"4,3",Processamento de transações financeiras,2025-04-08
Mundipagg Tecnologia em Pagamentos,"4,1",Processamento de transações financeiras,2025-04-08
Celero (Brazil),"4,0",Processamento de transações financeiras,2025-04-08
QIWI,"4,5",Processamento de transações financeiras,2025-04-08
Up Group (France),"4,6",Processamento de transações financeiras,2025-04-08
Entrepay,"4,5",Processamento de transações financeiras,2025-04-08
Lucree,"4,0",Processamento de transações financeiras,2025-04-08
Weel,"4,2",Processamento de transações financeiras,2025-04-08
Banco Losango,"4,5",Processamento de transações financeiras,2025-04-08
Educbank,"4,6",Processamento de transações financeiras,2025-04-08
Safe2Pay,"4,3",Processamento de transações financeiras,2025-04-08
Newport,"4,0",Processamento de transações financeiras,2025-04-08
CHG-MERIDIAN,"4,1",Processamento de transações financeiras,2025-04-08
Wave,"4,5",Processamento de transações financeiras,2025-04-08
Spin Pay,"4,9",Processamento de transações financeiras,2025-04-08
Global Blue,"4,1",Processamento de transações financeiras,2025-04-08
Orbital,"4,5",Processamento de transações financeiras,2025-04-08
Ramp,"4,1",Processamento de transações financeiras,2025-04-08
ATTA,"4,5",Processamento de transações financeiras,2025-04-08
Blueway Capital,"4,2",Processamento de transações financeiras,2025-04-08
Paymentology,"4,4",Processamento de transações financeiras,2025-04-08
Veedha Investimentos,"4,6",Processamento de transações financeiras,2025-04-08
EOS Group,"4,0",Processamento de transações financeiras,2025-04-08
Pay4Fun,"4,1",Processamento de transações financeiras,2025-04-08
Expensify.com,"4,4",Processamento de transações financeiras,2025-04-08
Inovant,"4,6",Processamento de transações financeiras,2025-04-08
Fderivs,"4,1",Processamento de transações financeiras,2025-04-08
SeQura,"4,4",Processamento de transações financeiras,2025-04-08
Blink Payment,"4,2",Processamento de transações financeiras,2025-04-08
Resuelve TU Deuda,"4,1",Processamento de transações financeiras,2025-04-08
Avantax,"4,1",Processamento de transações financeiras,2025-04-08
Multibank,"4,6",Processamento de transações financeiras,2025-04-08
Uphold,"4,8",Processamento de transações financeiras,2025-04-08
Frogpay,"4,2",Processamento de transações financeiras,2025-04-08
Pagsmile,"4,1",Processamento de transações financeiras,2025-04-08
Clara (Brazil),"4,6",Processamento de transações financeiras,2025-04-08
SadaPay,"4,3",Processamento de transações financeiras,2025-04-08
OKTO (Greece),"4,2",Processamento de transações financeiras,2025-04-08
Kora,"4,5",Processamento de transações financeiras,2025-04-08
BSM Supervisão de Mercados,"4,2",Processamento de transações financeiras,2025-04-08
Paradigm,"4,0",Processamento de transações financeiras,2025-04-08
WeTravel,"4,1",Processamento de transações financeiras,2025-04-08
Catarse,"4,7",Processamento de transações financeiras,2025-04-08
ChargeAfter,"4,5",Processamento de transações financeiras,2025-04-08
Dotin,"4,0",Processamento de transações financeiras,2025-04-08
Token.io,"4,4",Processamento de transações financeiras,2025-04-08
eNett,"4,2",Processamento de transações financeiras,2025-04-08
Metallicus,"4,0",Processamento de transações financeiras,2025-04-08
TTR,"4,5",Processamento de transações financeiras,2025-04-08
AlphaPoint,"4,1",Processamento de transações financeiras,2025-04-08
Airfox,"4,7",Processamento de transações financeiras,2025-04-08
RADAR,"4,1",Processamento de transações financeiras,2025-04-08
SoLo Funds,"4,2",Processamento de transações financeiras,2025-04-08
Boa Compra,"4,7",Processamento de transações financeiras,2025-04-08
CPOS,"4,0",Processamento de transações financeiras,2025-04-08
Latam Gateway,"4,4",Processamento de transações financeiras,2025-04-08
ICR - Cobrança,"4,0",Processamento de transações financeiras,2025-04-08
Embracon Administradora de Consórcio,"4,4",Processamento de transações financeiras,2025-04-08
ChatPay,"4,7",Processamento de transações financeiras,2025-04-08
OnePay,"4,1",Processamento de transações financeiras,2025-04-08
BBS,"4,0",Processamento de transações financeiras,2025-04-08
CoinsPaid,"4,1",Processamento de transações financeiras,2025-04-08
Antecipa Fácil,"4,5",Processamento de transações financeiras,2025-04-08
Dinamo Plataforma de Negócios,"4,2",Processamento de transações financeiras,2025-04-08
Prosus (Netherlands),"4,1",Processamento de transações financeiras,2025-04-08
Sardine,"4,3",Processamento de transações financeiras,2025-04-08
Felix Payment Systems,"4,2",Processamento de transações financeiras,2025-04-08
VPay,"4,0",Processamento de transações financeiras,2025-04-08
+SUBSCRIBE,"4,6",Processamento de transações financeiras,2025-04-08
Pomelo,"4,5",Processamento de transações financeiras,2025-04-08
Inswitch,"4,3",Processamento de transações financeiras,2025-04-08
iCred Solucoes Financeiras,"4,1",Processamento de transações financeiras,2025-04-08
Highline,"4,5",Processamento de transações financeiras,2025-04-08
FINCH,"4,1",Processamento de transações financeiras,2025-04-08
Tiba Tecnologia,"4,3",Processamento de transações financeiras,2025-04-08
MBG Financial Group,"5,0",Processamento de transações financeiras,2025-04-08
Movo,"4,2",Processamento de transações financeiras,2025-04-08
Online Information Services,"4,6",Processamento de transações financeiras,2025-04-08
Yellow Pepper,"4,4",Processamento de transações financeiras,2025-04-08
FLYBANK,"5,0",Processamento de transações financeiras,2025-04-08
ComproPay,"5,0",Processamento de transações financeiras,2025-04-08
Coinsource,"4,0",Processamento de transações financeiras,2025-04-08
RedFynn Technologies,"4,5",Processamento de transações financeiras,2025-04-08
CFAM Soluções Crédito e Financiamento,"4,2",Processamento de transações financeiras,2025-04-08
Pagcerto,"4,6",Processamento de transações financeiras,2025-04-08
CredForYou,"4,7",Processamento de transações financeiras,2025-04-08
Consiga Soluções Administrativas,"4,1",Processamento de transações financeiras,2025-04-08
Bitrefill,"5,0",Processamento de transações financeiras,2025-04-08
PAYFREE PAGAMENTOS,"4,7",Processamento de transações financeiras,2025-04-08
Dash,"4,3",Processamento de transações financeiras,2025-04-08
