nome,nota,setor,data_ingestao
Syngenta,"4,0",Produção agrícola,2025-04-08
Louis Dreyfus Company,"4,1",Produção agrícola,2025-04-08
Tereos,"4,0",Produção agrícola,2025-04-08
Amaggi,"4,2",Produção agrícola,2025-04-08
Coamo,"4,4",Produção agrícola,2025-04-08
Citrosuco,"4,1",Produção agrícola,2025-04-08
Caramuru,"4,2",Produção agrícola,2025-04-08
Grupo SLC,"4,1",Produção agrícola,2025-04-08
SLC Agrícola,"4,4",Produção agrícola,2025-04-08
Jalles,"4,1",Produção agrícola,2025-04-08
Kepler Weber,"4,2",Produção agrícola,2025-04-08
Scheffer,"4,1",Produção agrícola,2025-04-08
DOF Group,"4,6",Produção agrícola,2025-04-08
Cocal Energia Responsável,"4,3",Produção agrícola,2025-04-08
Agrex do Brasil,"4,0",Produção agrícola,2025-04-08
3 Tentos Agroindustrial,"4,3",Produção agrícola,2025-04-08
Arysta LifeScience,"4,3",Produção agrícola,2025-04-08
HM.CLAUSE,"4,1",Produção agrícola,2025-04-08
Cobb-Vantress,"4,0",Produção agrícola,2025-04-08
Alta Genetics,"4,0",Produção agrícola,2025-04-08
Mrs. Fields Famous Brands,"4,1",Produção agrícola,2025-04-08
Sementes São Francisco,"4,8",Produção agrícola,2025-04-08
Grupo Conceito,"4,4",Produção agrícola,2025-04-08
Bunge Latin America,"4,1",Produção agrícola,2025-04-08
Nardini Agroindustrial,"4,4",Produção agrícola,2025-04-08
Rijk Zwaan,"4,4",Produção agrícola,2025-04-08
SeedcorpHO,"4,6",Produção agrícola,2025-04-08
Trebeschi Tomates,"4,0",Produção agrícola,2025-04-08
Liquid Consulting,"4,3",Produção agrícola,2025-04-08
Oxiquímica Agrociência,"4,5",Produção agrícola,2025-04-08
Stoller,"4,6",Produção agrícola,2025-04-08
Futura Agronegócios,"4,6",Produção agrícola,2025-04-08
CIAT,"4,2",Produção agrícola,2025-04-08
Viralcool Castilho,"4,5",Produção agrícola,2025-04-08
Fertgrow,"4,4",Produção agrícola,2025-04-08
Rural Shop,"4,7",Produção agrícola,2025-04-08
Iterum Fertilizantes,"4,6",Produção agrícola,2025-04-08
Kuala Lumpur Kepong,"4,0",Produção agrícola,2025-04-08
Gencau,"4,1",Produção agrícola,2025-04-08
InPlanet,"5,0",Produção agrícola,2025-04-08
iCrop Gestão de Irrigação,"4,6",Produção agrícola,2025-04-08
GGF (Brazil),"4,4",Produção agrícola,2025-04-08
Dedeagro,"4,3",Produção agrícola,2025-04-08
JCO Bioprodutos,"4,1",Produção agrícola,2025-04-08
Brevant seeds,"4,8",Produção agrícola,2025-04-08
Safrasul Sementes,"4,3",Produção agrícola,2025-04-08
