nome,nota,setor,data_ingestao
ESPN,"4,0",Produção cinematográfica,2025-04-08
Pixar Animation Studios,"4,4",Produção cinematográfica,2025-04-08
Lucasfilm,"4,4",Produção cinematográfica,2025-04-08
DreamWorks Animation,"4,2",Produção cinematográfica,2025-04-08
Industrial Light & Magic,"4,3",Produção cinematográfica,2025-04-08
Null Corporation,"4,2",Produção cinematográfica,2025-04-08
Marvel Entertainment,"4,0",Produção cinematográfica,2025-04-08
National Geographic Society,"4,0",Produção cinematográfica,2025-04-08
Animal Logic,"4,3",Produção cinematográfica,2025-04-08
Universal Pictures,"4,3",Produção cinematográfica,2025-04-08
Juju,"4,3",Produção cinematográfica,2025-04-08
RPC,"4,0",Produção cinematográfica,2025-04-08
RTVE,"4,5",Produção cinematográfica,2025-04-08
Atomic Cartoons,"4,4",Produção cinematográfica,2025-04-08
Mainframe Studios,"4,2",Produção cinematográfica,2025-04-08
Poop A Lot Productions,"4,4",Produção cinematográfica,2025-04-08
SINA,"4,2",Produção cinematográfica,2025-04-08
Luma Pictures,"4,1",Produção cinematográfica,2025-04-08
Aardman Animations,"4,2",Produção cinematográfica,2025-04-08
Magnet Media,"4,0",Produção cinematográfica,2025-04-08
Dhar Mann Studios,"4,7",Produção cinematográfica,2025-04-08
Proof,"4,4",Produção cinematográfica,2025-04-08
XXX Studios,"4,1",Produção cinematográfica,2025-04-08
The Kitchen,"4,2",Produção cinematográfica,2025-04-08
Grupo RTF,"4,1",Produção cinematográfica,2025-04-08
Weekly LALALA,"4,2",Produção cinematográfica,2025-04-08
Bold Films,"4,0",Produção cinematográfica,2025-04-08
Jaunt,"4,1",Produção cinematográfica,2025-04-08
Jignesh Jariwala,"4,0",Produção cinematográfica,2025-04-08
TRMG,"4,1",Produção cinematográfica,2025-04-08
Abra Vídeos,"4,0",Produção cinematográfica,2025-04-08
RDM,"4,4",Produção cinematográfica,2025-04-08
Film Roman,"4,6",Produção cinematográfica,2025-04-08
Vessel,"4,0",Produção cinematográfica,2025-04-08
High End Systems,"4,3",Produção cinematográfica,2025-04-08
Roldan Productions,"4,4",Produção cinematográfica,2025-04-08
Digital Dreams,"4,7",Produção cinematográfica,2025-04-08
FX Design Group,"4,4",Produção cinematográfica,2025-04-08
Fliperama,"4,7",Produção cinematográfica,2025-04-08
Logan Media,"4,4",Produção cinematográfica,2025-04-08
IDTV,"4,0",Produção cinematográfica,2025-04-08
Casablanca Animation,"4,3",Produção cinematográfica,2025-04-08
BLARE Media,"5,0",Produção cinematográfica,2025-04-08
Lumiere Produções,"5,0",Produção cinematográfica,2025-04-08
Mantra Films,"4,6",Produção cinematográfica,2025-04-08
Mediaguide,"4,1",Produção cinematográfica,2025-04-08
VisualConcepts.tv,"4,0",Produção cinematográfica,2025-04-08
JR Media,"5,0",Produção cinematográfica,2025-04-08
Animation Lab,"4,5",Produção cinematográfica,2025-04-08
Oh My,"5,0",Produção cinematográfica,2025-04-08
Core SWX,"5,0",Produção cinematográfica,2025-04-08
AEPi Media,"4,8",Produção cinematográfica,2025-04-08
BeeSocial,"4,0",Produção cinematográfica,2025-04-08
Mova,"5,0",Produção cinematográfica,2025-04-08
Giros Filmes,"5,0",Produção cinematográfica,2025-04-08
Equilibrium Films,"5,0",Produção cinematográfica,2025-04-08
Star Filmes,"5,0",Produção cinematográfica,2025-04-08
Number 11 Films,"4,0",Produção cinematográfica,2025-04-08
MK12,"5,0",Produção cinematográfica,2025-04-08
