nome,nota,setor,data_ingestao
Ambev,"4,3",Produção de alimentos e bebidas,2025-04-08
Nestlé,"4,3",Produção de alimentos e bebidas,2025-04-08
Coca-Cola FEMSA,"4,1",Produção de alimentos e bebidas,2025-04-08
The HEINEKEN Company,"4,4",Produção de alimentos e bebidas,2025-04-08
The Coca-Cola Company,"4,1",Produção de alimentos e bebidas,2025-04-08
Danone,"4,0",Produção de alimentos e bebidas,2025-04-08
Mars,"4,3",Produção de alimentos e bebidas,2025-04-08
General Mills,"4,1",Produção de alimentos e bebidas,2025-04-08
Solar BR Coca Cola,"4,2",Produção de alimentos e bebidas,2025-04-08
Red Bull,"4,2",Produção de alimentos e bebidas,2025-04-08
M. Dias Branco,"4,2",Produção de alimentos e bebidas,2025-04-08
Tetra Pak,"4,3",Produção de alimentos e bebidas,2025-04-08
Coca Cola Andina,"4,1",Produção de alimentos e bebidas,2025-04-08
Bunge Limited,"4,2",Produção de alimentos e bebidas,2025-04-08
Pernod Ricard,"4,1",Produção de alimentos e bebidas,2025-04-08
Grupo Arcor,"4,0",Produção de alimentos e bebidas,2025-04-08
Ferrero,"4,0",Produção de alimentos e bebidas,2025-04-08
Grupo 3corações,"4,0",Produção de alimentos e bebidas,2025-04-08
Bunge Alimentos,"4,3",Produção de alimentos e bebidas,2025-04-08
Cooperativa Central Aurora Alimentos,"4,2",Produção de alimentos e bebidas,2025-04-08
COFCO Group,"4,1",Produção de alimentos e bebidas,2025-04-08
Lindt & Sprüngli,"4,0",Produção de alimentos e bebidas,2025-04-08
Copacol- Cooperativa Agroindustrial,"4,4",Produção de alimentos e bebidas,2025-04-08
FEMSA,"4,2",Produção de alimentos e bebidas,2025-04-08
Leão,"4,4",Produção de alimentos e bebidas,2025-04-08
Grupo Piracanjuba,"4,1",Produção de alimentos e bebidas,2025-04-08
Marilan Alimentos,"4,0",Produção de alimentos e bebidas,2025-04-08
Perfetti Van Melle,"4,0",Produção de alimentos e bebidas,2025-04-08
Bacardi,"4,1",Produção de alimentos e bebidas,2025-04-08
Sadia,"4,2",Produção de alimentos e bebidas,2025-04-08
XXX Energy Drink,"4,0",Produção de alimentos e bebidas,2025-04-08
Gomes da Costa,"4,4",Produção de alimentos e bebidas,2025-04-08
Yakult,"4,0",Produção de alimentos e bebidas,2025-04-08
ARYZTA,"4,0",Produção de alimentos e bebidas,2025-04-08
Wickbold,"4,0",Produção de alimentos e bebidas,2025-04-08
Forno de Minas,"4,3",Produção de alimentos e bebidas,2025-04-08
Tangará Foods,"4,0",Produção de alimentos e bebidas,2025-04-08
Sigma,"4,2",Produção de alimentos e bebidas,2025-04-08
Prodap,"4,0",Produção de alimentos e bebidas,2025-04-08
