nome,nota,setor,data_ingestao
Interface,"4,3",Produção de artigos têxteis e de vestuário,2025-04-08
MAS Holdings,"4,2",Produção de artigos têxteis e de vestuário,2025-04-08
Ponto da Moda (Brazil),"4,6",Produção de artigos têxteis e de vestuário,2025-04-08
Eurotextil Comercio e Importacao,"4,1",Produção de artigos têxteis e de vestuário,2025-04-08
Redeplast,"4,2",Produção de artigos têxteis e de vestuário,2025-04-08
Artvac Embalagens,"4,8",Produção de artigos têxteis e de vestuário,2025-04-08
Grupo Kamylus,"4,5",Produção de artigos têxteis e de vestuário,2025-04-08
Nicoletti Têxtil,"4,0",Produção de artigos têxteis e de vestuário,2025-04-08
Fabril Scavone,"4,4",Produção de artigos têxteis e de vestuário,2025-04-08
Bograntex,"4,1",Produção de artigos têxteis e de vestuário,2025-04-08
JS Espumas Flexíveis,"4,1",Produção de artigos têxteis e de vestuário,2025-04-08
Crival Calçados de Segurança,"4,6",Produção de artigos têxteis e de vestuário,2025-04-08
Norfil (Brazil),"4,5",Produção de artigos têxteis e de vestuário,2025-04-08
Amed,"4,0",Produção de artigos têxteis e de vestuário,2025-04-08
Momentus,"4,2",Produção de artigos têxteis e de vestuário,2025-04-08
PBF Gráfica e Têxtil,"4,3",Produção de artigos têxteis e de vestuário,2025-04-08
Grupo Brandili,"4,0",Produção de artigos têxteis e de vestuário,2025-04-08
Korea Textil Industria e Comércio,"4,2",Produção de artigos têxteis e de vestuário,2025-04-08
Cirne Irmaos & Cia,"4,6",Produção de artigos têxteis e de vestuário,2025-04-08
Bil Textil,"4,4",Produção de artigos têxteis e de vestuário,2025-04-08
Unipoli Embalagens,"4,0",Produção de artigos têxteis e de vestuário,2025-04-08
Cristalflex,"4,3",Produção de artigos têxteis e de vestuário,2025-04-08
Cordon Téxtil Indústria e Comércio LTDA,"4,4",Produção de artigos têxteis e de vestuário,2025-04-08
Tileesul,"4,0",Produção de artigos têxteis e de vestuário,2025-04-08
GranCouro,"4,2",Produção de artigos têxteis e de vestuário,2025-04-08
Willrich Têxtil,"5,0",Produção de artigos têxteis e de vestuário,2025-04-08
Elian Industria Textil,"4,3",Produção de artigos têxteis e de vestuário,2025-04-08
Lilu,"4,0",Produção de artigos têxteis e de vestuário,2025-04-08
Grupo JB Tecidos,"4,0",Produção de artigos têxteis e de vestuário,2025-04-08
Texmalha,"5,0",Produção de artigos têxteis e de vestuário,2025-04-08
Caravela,"4,4",Produção de artigos têxteis e de vestuário,2025-04-08
Nobre,"4,7",Produção de artigos têxteis e de vestuário,2025-04-08
Indratech,"4,2",Produção de artigos têxteis e de vestuário,2025-04-08
Têxtil Carmem,"4,0",Produção de artigos têxteis e de vestuário,2025-04-08
Santa Mônica Tapetes e Carpetes,"5,0",Produção de artigos têxteis e de vestuário,2025-04-08
Hiper Têxtil,"5,0",Produção de artigos têxteis e de vestuário,2025-04-08
YD Confecções,"5,0",Produção de artigos têxteis e de vestuário,2025-04-08
SP Institucional,"4,0",Produção de artigos têxteis e de vestuário,2025-04-08
Mallei Calçados,"5,0",Produção de artigos têxteis e de vestuário,2025-04-08
Nortefios Industria E Comercio De Fios,"4,2",Produção de artigos têxteis e de vestuário,2025-04-08
Textil Assef Maluf,"4,4",Produção de artigos têxteis e de vestuário,2025-04-08
Mlx Uniformes,"4,3",Produção de artigos têxteis e de vestuário,2025-04-08
IZ Têxtil Private Label,"5,0",Produção de artigos têxteis e de vestuário,2025-04-08
Empresa Zenglein & Cia,"4,4",Produção de artigos têxteis e de vestuário,2025-04-08
Falcon Têxtil,"4,2",Produção de artigos têxteis e de vestuário,2025-04-08
Kunz Shoe Solutions,"5,0",Produção de artigos têxteis e de vestuário,2025-04-08
Unicap Recapagem,"5,0",Produção de artigos têxteis e de vestuário,2025-04-08
San Marco Confecções,"5,0",Produção de artigos têxteis e de vestuário,2025-04-08
Diagonal Têxtil,"4,5",Produção de artigos têxteis e de vestuário,2025-04-08
Grupo G.C.,"4,5",Produção de artigos têxteis e de vestuário,2025-04-08
Grupo G.C.,"4,5",Produção de artigos têxteis e de vestuário,2025-04-08
Gonçalves Calçados,"4,0",Produção de artigos têxteis e de vestuário,2025-04-08
TEXPA Global Textile Products Sourcing,"4,1",Produção de artigos têxteis e de vestuário,2025-04-08
Intima Moda,"5,0",Produção de artigos têxteis e de vestuário,2025-04-08
Kamaleão Textil,"4,5",Produção de artigos têxteis e de vestuário,2025-04-08
Fimatec Têxtil,"5,0",Produção de artigos têxteis e de vestuário,2025-04-08
PlasticoGeral,"4,0",Produção de artigos têxteis e de vestuário,2025-04-08
Brascamp Equipamentos De Protecao Do Trabalho,"5,0",Produção de artigos têxteis e de vestuário,2025-04-08
Caruplast,"4,0",Produção de artigos têxteis e de vestuário,2025-04-08
Makro Central de Aviamentos,"5,0",Produção de artigos têxteis e de vestuário,2025-04-08
Line Flex,"4,0",Produção de artigos têxteis e de vestuário,2025-04-08
Marvin,"4,0",Produção de artigos têxteis e de vestuário,2025-04-08
Texiglass,"4,5",Produção de artigos têxteis e de vestuário,2025-04-08
Jomo Fashion,"4,0",Produção de artigos têxteis e de vestuário,2025-04-08
Tecelagem Martins,"5,0",Produção de artigos têxteis e de vestuário,2025-04-08
Patamuté,"4,2",Produção de artigos têxteis e de vestuário,2025-04-08
Maxitex Indústria Têxtil,"4,5",Produção de artigos têxteis e de vestuário,2025-04-08
Usibag,"5,0",Produção de artigos têxteis e de vestuário,2025-04-08
Politecno,"5,0",Produção de artigos têxteis e de vestuário,2025-04-08
Nova Kaeru,"5,0",Produção de artigos têxteis e de vestuário,2025-04-08
Antoni Têxtil,"4,0",Produção de artigos têxteis e de vestuário,2025-04-08
Têxtil Belém,"5,0",Produção de artigos têxteis e de vestuário,2025-04-08
Natu Vale Confecções,"5,0",Produção de artigos têxteis e de vestuário,2025-04-08
Gharra,"5,0",Produção de artigos têxteis e de vestuário,2025-04-08
Lavanderia Cristal,"5,0",Produção de artigos têxteis e de vestuário,2025-04-08
RJ Rubbers,"5,0",Produção de artigos têxteis e de vestuário,2025-04-08
Vitória Pneus,"5,0",Produção de artigos têxteis e de vestuário,2025-04-08
Curtume Partner,"5,0",Produção de artigos têxteis e de vestuário,2025-04-08
Bordeaux Têxtil,"4,0",Produção de artigos têxteis e de vestuário,2025-04-08
Torcida Baby,"5,0",Produção de artigos têxteis e de vestuário,2025-04-08
Real Especialidades Têxteis,"5,0",Produção de artigos têxteis e de vestuário,2025-04-08
Puffão Cia e Sustentabilidade,"5,0",Produção de artigos têxteis e de vestuário,2025-04-08
Grupo Luiz Eugênio,"4,0",Produção de artigos têxteis e de vestuário,2025-04-08
Hamilton Rios Group,"5,0",Produção de artigos têxteis e de vestuário,2025-04-08
