nome,nota,setor,data_ingestao
Unilever,"4,0",Produção de bens de consumo,2025-04-08
Procter & Gamble,"4,1",Produção de bens de consumo,2025-04-08
L'Oréal,"4,1",Produção de bens de consumo,2025-04-08
BAT,"4,0",Produção de bens de consumo,2025-04-08
NIKE,"4,0",Produção de bens de consumo,2025-04-08
Henkel,"4,3",Produção de bens de consumo,2025-04-08
Honda,"4,0",Produção de bens de consumo,2025-04-08
Kimberly-Clark,"4,0",Produção de bens de consumo,2025-04-08
Philip Morris International,"4,0",Produção de bens de consumo,2025-04-08
Colgate-Palmolive,"4,1",Produção de bens de consumo,2025-04-08
Bosch,"4,1",Produção de bens de consumo,2025-04-08
JTI - Japan Tobacco International,"4,3",Produção de bens de consumo,2025-04-08
Sony,"4,1",Produção de bens de consumo,2025-04-08
Ypê (Química Amparo),"4,2",Produção de bens de consumo,2025-04-08
Coca Cola Andina,"4,1",Produção de bens de consumo,2025-04-08
JLR,"4,0",Produção de bens de consumo,2025-04-08
Beiersdorf,"4,1",Produção de bens de consumo,2025-04-08
Randoncorp,"4,3",Produção de bens de consumo,2025-04-08
BIC,"4,0",Produção de bens de consumo,2025-04-08
Tramontina,"4,3",Produção de bens de consumo,2025-04-08
Faber-Castell,"4,0",Produção de bens de consumo,2025-04-08
Kärcher,"4,0",Produção de bens de consumo,2025-04-08
Avon Cosméticos,"4,2",Produção de bens de consumo,2025-04-08
the LEGO Group,"4,3",Produção de bens de consumo,2025-04-08
Bombril,"4,1",Produção de bens de consumo,2025-04-08
Andreas Stihl,"4,3",Produção de bens de consumo,2025-04-08
Camargo Corrêa,"4,3",Produção de bens de consumo,2025-04-08
Sylvamo,"4,2",Produção de bens de consumo,2025-04-08
Amway,"4,0",Produção de bens de consumo,2025-04-08
Midea Carrier,"4,0",Produção de bens de consumo,2025-04-08
Itautec,"4,3",Produção de bens de consumo,2025-04-08
Aditya Birla Group,"4,0",Produção de bens de consumo,2025-04-08
SEMP TCL,"4,0",Produção de bens de consumo,2025-04-08
Mabe,"4,2",Produção de bens de consumo,2025-04-08
Unicharm,"4,1",Produção de bens de consumo,2025-04-08
Fitesa,"4,0",Produção de bens de consumo,2025-04-08
Mead Johnson,"4,1",Produção de bens de consumo,2025-04-08
Natura &Co,"4,1",Produção de bens de consumo,2025-04-08
Atlas Eletrodomésticos,"4,2",Produção de bens de consumo,2025-04-08
Seiko Epson,"4,0",Produção de bens de consumo,2025-04-08
Kipling,"4,2",Produção de bens de consumo,2025-04-08
Tintas Iquine,"4,2",Produção de bens de consumo,2025-04-08
Milwaukee Tool,"4,2",Produção de bens de consumo,2025-04-08
Maybelline,"4,1",Produção de bens de consumo,2025-04-08
Tectoy,"4,0",Produção de bens de consumo,2025-04-08
Rolex,"4,0",Produção de bens de consumo,2025-04-08
Sigdo Koppers,"4,2",Produção de bens de consumo,2025-04-08
Placo,"4,2",Produção de bens de consumo,2025-04-08
Trident Group,"4,1",Produção de bens de consumo,2025-04-08
Lesaffre,"4,0",Produção de bens de consumo,2025-04-08
Titan Company,"4,1",Produção de bens de consumo,2025-04-08
Starrett,"4,2",Produção de bens de consumo,2025-04-08
ARDAGH METAL PACKAGING,"4,1",Produção de bens de consumo,2025-04-08
Metalúrgica Fey,"4,2",Produção de bens de consumo,2025-04-08
Itaúsa,"4,5",Produção de bens de consumo,2025-04-08
Sulbras,"4,1",Produção de bens de consumo,2025-04-08
Swedish Match,"4,2",Produção de bens de consumo,2025-04-08
Nutriplan,"4,2",Produção de bens de consumo,2025-04-08
Multibrás,"4,1",Produção de bens de consumo,2025-04-08
