nome,nota,setor,data_ingestao
Ford Motor Company,"4,0",Produção de equipamentos de transporte,2025-04-08
Volkswagen Group,"4,2",Produção de equipamentos de transporte,2025-04-08
Volvo Group,"4,1",Produção de equipamentos de transporte,2025-04-08
Honda,"4,0",Produção de equipamentos de transporte,2025-04-08
Toyota Motor Corporation,"4,0",Produção de equipamentos de transporte,2025-04-08
BMW Group,"4,1",Produção de equipamentos de transporte,2025-04-08
Mercedes-Benz Group,"4,1",Produção de equipamentos de transporte,2025-04-08
Scania,"4,1",Produção de equipamentos de transporte,2025-04-08
Audi,"4,1",Produção de equipamentos de transporte,2025-04-08
Toyota North America,"4,0",Produção de equipamentos de transporte,2025-04-08
Randoncorp,"4,3",Produção de equipamentos de transporte,2025-04-08
Marcopolo,"4,3",Produção de equipamentos de transporte,2025-04-08
Maxion Wheels,"4,1",Produção de equipamentos de transporte,2025-04-08
Fiat Automóveis,"4,1",Produção de equipamentos de transporte,2025-04-08
Metalsa,"4,1",Produção de equipamentos de transporte,2025-04-08
Bruning Tecnometal,"4,3",Produção de equipamentos de transporte,2025-04-08
Porsche,"4,3",Produção de equipamentos de transporte,2025-04-08
AVL,"4,1",Produção de equipamentos de transporte,2025-04-08
MWM International,"4,5",Produção de equipamentos de transporte,2025-04-08
Indústrias Romi,"4,0",Produção de equipamentos de transporte,2025-04-08
BMW Manufacturing,"4,0",Produção de equipamentos de transporte,2025-04-08
KION GROUP,"4,0",Produção de equipamentos de transporte,2025-04-08
Scania Latin America,"4,6",Produção de equipamentos de transporte,2025-04-08
Arteb,"4,0",Produção de equipamentos de transporte,2025-04-08
Zf do brasil,"4,2",Produção de equipamentos de transporte,2025-04-08
Mahindra,"4,0",Produção de equipamentos de transporte,2025-04-08
ARaymond,"4,1",Produção de equipamentos de transporte,2025-04-08
Tata Motors,"4,0",Produção de equipamentos de transporte,2025-04-08
Bajaj Auto,"4,0",Produção de equipamentos de transporte,2025-04-08
Daimler Truck AG,"4,2",Produção de equipamentos de transporte,2025-04-08
Citroën,"4,0",Produção de equipamentos de transporte,2025-04-08
"CAF, Construcciones y Auxiliar de Ferrocarriles","4,1",Produção de equipamentos de transporte,2025-04-08
Triumph Motorcycles,"4,1",Produção de equipamentos de transporte,2025-04-08
Honda Motorcycle & Scooter India,"4,1",Produção de equipamentos de transporte,2025-04-08
IAV Automotive Engineering,"4,1",Produção de equipamentos de transporte,2025-04-08
Greenbrier,"4,0",Produção de equipamentos de transporte,2025-04-08
Volvo Trucks,"4,2",Produção de equipamentos de transporte,2025-04-08
STILL,"4,0",Produção de equipamentos de transporte,2025-04-08
AKWEL,"4,1",Produção de equipamentos de transporte,2025-04-08
Soluparts,"4,1",Produção de equipamentos de transporte,2025-04-08
Renault Trucks,"4,1",Produção de equipamentos de transporte,2025-04-08
BMW of North America,"4,0",Produção de equipamentos de transporte,2025-04-08
Astra International,"4,5",Produção de equipamentos de transporte,2025-04-08
Mazda,"4,0",Produção de equipamentos de transporte,2025-04-08
Damen Shipyards Group,"4,0",Produção de equipamentos de transporte,2025-04-08
Patria,"4,1",Produção de equipamentos de transporte,2025-04-08
Automobili Lamborghini,"4,2",Produção de equipamentos de transporte,2025-04-08
Eicher Motors,"4,0",Produção de equipamentos de transporte,2025-04-08
Cydak,"4,5",Produção de equipamentos de transporte,2025-04-08
Taramps Group,"4,3",Produção de equipamentos de transporte,2025-04-08
Sisamex,"4,2",Produção de equipamentos de transporte,2025-04-08
HBPO Group,"4,4",Produção de equipamentos de transporte,2025-04-08
Subaru Corporation,"4,0",Produção de equipamentos de transporte,2025-04-08
PENTANOVA DO BRASIL,"4,2",Produção de equipamentos de transporte,2025-04-08
Titan Logix,"4,3",Produção de equipamentos de transporte,2025-04-08
Emuge-Franken,"4,2",Produção de equipamentos de transporte,2025-04-08
Vossloh Cogifer,"4,2",Produção de equipamentos de transporte,2025-04-08
Hidro Ambiental,"4,0",Produção de equipamentos de transporte,2025-04-08
CGR,"4,3",Produção de equipamentos de transporte,2025-04-08
Siddons-Martin Emergency Group,"4,3",Produção de equipamentos de transporte,2025-04-08
Haji Husein Alireza & Co,"4,1",Produção de equipamentos de transporte,2025-04-08
Plastic Omnium do Brasil,"4,1",Produção de equipamentos de transporte,2025-04-08
Traction,"4,5",Produção de equipamentos de transporte,2025-04-08
ESI North America,"4,0",Produção de equipamentos de transporte,2025-04-08
Kasinski,"4,6",Produção de equipamentos de transporte,2025-04-08
Sekurit Service,"4,0",Produção de equipamentos de transporte,2025-04-08
Fontaine Trailer,"4,0",Produção de equipamentos de transporte,2025-04-08
EcoPower,"4,7",Produção de equipamentos de transporte,2025-04-08
Dorel Sports,"4,2",Produção de equipamentos de transporte,2025-04-08
Coopresa,"5,0",Produção de equipamentos de transporte,2025-04-08
Brenco,"4,0",Produção de equipamentos de transporte,2025-04-08
RV Tech,"4,5",Produção de equipamentos de transporte,2025-04-08
Neo Parts,"4,0",Produção de equipamentos de transporte,2025-04-08
Dialp,"4,7",Produção de equipamentos de transporte,2025-04-08
Icahn Enterprises,"4,5",Produção de equipamentos de transporte,2025-04-08
BBS Kraftfahrzeugtechnik,"4,0",Produção de equipamentos de transporte,2025-04-08
Voss,"4,0",Produção de equipamentos de transporte,2025-04-08
Adler Pelzer Group,"4,1",Produção de equipamentos de transporte,2025-04-08
OPTIMUMG,"4,2",Produção de equipamentos de transporte,2025-04-08
QT Equipment,"5,0",Produção de equipamentos de transporte,2025-04-08
Ebro Armaturen,"4,7",Produção de equipamentos de transporte,2025-04-08
Metalurgica Gram Serv,"5,0",Produção de equipamentos de transporte,2025-04-08
Triangulo Pecas e Filtros,"5,0",Produção de equipamentos de transporte,2025-04-08
Nova Industries,"4,4",Produção de equipamentos de transporte,2025-04-08
Sign Wise,"5,0",Produção de equipamentos de transporte,2025-04-08
Arsal,"4,2",Produção de equipamentos de transporte,2025-04-08
SERMEC,"4,0",Produção de equipamentos de transporte,2025-04-08
Motive Equipment,"4,4",Produção de equipamentos de transporte,2025-04-08
Sena Pneus,"4,6",Produção de equipamentos de transporte,2025-04-08
RA Motors,"5,0",Produção de equipamentos de transporte,2025-04-08
Palmeira Implementos Rodoviários,"5,0",Produção de equipamentos de transporte,2025-04-08
GREENCAR(Brazil),"5,0",Produção de equipamentos de transporte,2025-04-08
Antera,"4,0",Produção de equipamentos de transporte,2025-04-08
