nome,nota,setor,data_ingestao
Globo,"4,2",Rádio e televisão,2025-04-08
Grupo Globo,"4,1",Rádio e televisão,2025-04-08
Record TV,"4,0",Rádio e televisão,2025-04-08
NBCUniversal,"4,0",Rádio e televisão,2025-04-08
ESPN,"4,0",Rádio e televisão,2025-04-08
Private TV,"4,1",Rádio e televisão,2025-04-08
Slide Inc,"4,4",Rádio e televisão,2025-04-08
Deezer,"4,3",Rádio e televisão,2025-04-08
Nickelodeon,"4,1",Rádio e televisão,2025-04-08
HBO,"4,0",Rádio e televisão,2025-04-08
CANAL+ Group,"4,2",Rádio e televisão,2025-04-08
Watch Brasil,"4,4",Rádio e televisão,2025-04-08
DIRECTV Latin America,"4,0",Rádio e televisão,2025-04-08
Hulu,"4,0",Rádio e televisão,2025-04-08
TV Gazeta,"4,2",Rádio e televisão,2025-04-08
Turner International,"4,2",Rádio e televisão,2025-04-08
Cartoon Network,"4,2",Rádio e televisão,2025-04-08
Pluto TV,"4,1",Rádio e televisão,2025-04-08
FremantleMedia,"4,0",Rádio e televisão,2025-04-08
Sistema Verdes Mares de Comunicação,"4,3",Rádio e televisão,2025-04-08
Comedy Central,"4,1",Rádio e televisão,2025-04-08
Pineapple Hub,"4,3",Rádio e televisão,2025-04-08
BeInCrypto,"4,1",Rádio e televisão,2025-04-08
Globosat News Television,"4,1",Rádio e televisão,2025-04-08
Bardel Entertainment,"4,3",Rádio e televisão,2025-04-08
ClapMe,"4,9",Rádio e televisão,2025-04-08
TV Cultura,"4,1",Rádio e televisão,2025-04-08
Teleimage,"4,1",Rádio e televisão,2025-04-08
Fox Networks Group,"4,0",Rádio e televisão,2025-04-08
The Orchard,"4,0",Rádio e televisão,2025-04-08
Hungryman,"4,2",Rádio e televisão,2025-04-08
BUCK,"4,0",Rádio e televisão,2025-04-08
TNT Sports,"4,1",Rádio e televisão,2025-04-08
Open Labs,"4,5",Rádio e televisão,2025-04-08
GIPHY,"4,6",Rádio e televisão,2025-04-08
TV Band Vale,"4,4",Rádio e televisão,2025-04-08
Allure Comunicação,"4,3",Rádio e televisão,2025-04-08
swr,"4,2",Rádio e televisão,2025-04-08
Jelli,"4,4",Rádio e televisão,2025-04-08
ESAT,"4,1",Rádio e televisão,2025-04-08
Metro TV,"4,1",Rádio e televisão,2025-04-08
Grooveshark,"4,1",Rádio e televisão,2025-04-08
Vrio,"4,1",Rádio e televisão,2025-04-08
Van Wagner Communications,"4,0",Rádio e televisão,2025-04-08
NBCUniversal Media,"4,3",Rádio e televisão,2025-04-08
Telecinco,"4,0",Rádio e televisão,2025-04-08
89 A Rádio Rock,"4,6",Rádio e televisão,2025-04-08
Blue Note,"4,3",Rádio e televisão,2025-04-08
MediaPost,"4,0",Rádio e televisão,2025-04-08
Município de Costa Rica,"4,5",Rádio e televisão,2025-04-08
Record TV Belém,"4,2",Rádio e televisão,2025-04-08
RGB Broadcasting Equipments,"4,4",Rádio e televisão,2025-04-08
Directly,"4,2",Rádio e televisão,2025-04-08
Bnews,"4,0",Rádio e televisão,2025-04-08
OSSA,"4,6",Rádio e televisão,2025-04-08
Film Roman,"4,6",Rádio e televisão,2025-04-08
Amino,"4,8",Rádio e televisão,2025-04-08
CINE,"4,4",Rádio e televisão,2025-04-08
Unlimitail,"4,0",Rádio e televisão,2025-04-08
Televisao Record DO Rio de Janeiro,"4,8",Rádio e televisão,2025-04-08
Dicarlo Móveis e Acessórios,"4,2",Rádio e televisão,2025-04-08
Ronaldo.com,"4,4",Rádio e televisão,2025-04-08
Good Idea TV Global Network,"5,0",Rádio e televisão,2025-04-08
Uniradio,"4,4",Rádio e televisão,2025-04-08
Track Data,"4,5",Rádio e televisão,2025-04-08
Grupo Observatório,"4,2",Rádio e televisão,2025-04-08
Agência Radioweb,"4,4",Rádio e televisão,2025-04-08
Mantra Films,"4,6",Rádio e televisão,2025-04-08
O Rei do Peixe,"4,8",Rádio e televisão,2025-04-08
Plugify,"4,4",Rádio e televisão,2025-04-08
Grupo Norte de Comunicação,"4,0",Rádio e televisão,2025-04-08
Rádio Sociedade da Bahia,"4,3",Rádio e televisão,2025-04-08
People Digital,"4,5",Rádio e televisão,2025-04-08
Estação Net de Cinema,"4,1",Rádio e televisão,2025-04-08
TV Diario,"5,0",Rádio e televisão,2025-04-08
Campesina,"4,0",Rádio e televisão,2025-04-08
Tradeoffs,"5,0",Rádio e televisão,2025-04-08
Latin Media,"4,2",Rádio e televisão,2025-04-08
Millennials Digital,"5,0",Rádio e televisão,2025-04-08
TV Diário,"4,0",Rádio e televisão,2025-04-08
All day play,"5,0",Rádio e televisão,2025-04-08
LJ Móveis,"5,0",Rádio e televisão,2025-04-08
UNITV,"5,0",Rádio e televisão,2025-04-08
Kudzu Communications,"5,0",Rádio e televisão,2025-04-08
Fashion Directions Footwear Trends,"4,0",Rádio e televisão,2025-04-08
KWXI Radio,"4,0",Rádio e televisão,2025-04-08
93 FM Guarapuava,"5,0",Rádio e televisão,2025-04-08
Rádio GazetaFM,"4,0",Rádio e televisão,2025-04-08
Itu (Brazil),"5,0",Rádio e televisão,2025-04-08
O Imparcial digital,"5,0",Rádio e televisão,2025-04-08
Esaúde Marketing,"5,0",Rádio e televisão,2025-04-08
Morada,"4,6",Rádio e televisão,2025-04-08
UnivFilms,"5,0",Rádio e televisão,2025-04-08
"Linear (Brasília, Brazil)","4,4",Rádio e televisão,2025-04-08
Notícia FM,"4,0",Rádio e televisão,2025-04-08
Melhor RH,"5,0",Rádio e televisão,2025-04-08
Portal 6,"4,0",Rádio e televisão,2025-04-08
"Rádio Catedral FM 106,7","4,0",Rádio e televisão,2025-04-08
Lab Dicas Jornalismo,"5,0",Rádio e televisão,2025-04-08
