nome,nota,setor,data_ingestao
Brunel,"4,3",Recrutamento e terceirização,2025-04-08
Jobsity,"4,1",Recrutamento e terceirização,2025-04-08
eTeam,"4,4",Recrutamento e terceirização,2025-04-08
N2S,"4,3",Recrutamento e terceirização,2025-04-08
Companhia de Estágios,"4,3",Recrutamento e terceirização,2025-04-08
Gi Group Brasil Recursos Humanos,"4,2",Recrutamento e terceirização,2025-04-08
Collabera,"4,0",Recrutamento e terceirização,2025-04-08
LD Celulose,"4,2",Recrutamento e terceirização,2025-04-08
Emapta Versatile Services,"4,3",Recrutamento e terceirização,2025-04-08
Cpl Resources,"4,0",Recrutamento e terceirização,2025-04-08
Work-on,"4,6",Recrutamento e terceirização,2025-04-08
BELAY,"4,0",Recrutamento e terceirização,2025-04-08
Digital Prospectors,"4,9",Recrutamento e terceirização,2025-04-08
Addison Group,"4,3",Recrutamento e terceirização,2025-04-08
Job&Talent,"4,0",Recrutamento e terceirização,2025-04-08
BMS Performance,"4,3",Recrutamento e terceirização,2025-04-08
MATRIX Resources,"4,1",Recrutamento e terceirização,2025-04-08
SPECTRAFORCE,"4,0",Recrutamento e terceirização,2025-04-08
Informatec Serviços,"4,3",Recrutamento e terceirização,2025-04-08
The Functionary,"4,1",Recrutamento e terceirização,2025-04-08
Morson Group,"4,2",Recrutamento e terceirização,2025-04-08
CyberCoders,"4,0",Recrutamento e terceirização,2025-04-08
KWAN,"4,5",Recrutamento e terceirização,2025-04-08
BGSF,"4,3",Recrutamento e terceirização,2025-04-08
RPO Solutions,"4,2",Recrutamento e terceirização,2025-04-08
Heat Recruitment,"4,1",Recrutamento e terceirização,2025-04-08
Robert Half Trabalho Temporario Ltda,"4,4",Recrutamento e terceirização,2025-04-08
Serviap,"4,1",Recrutamento e terceirização,2025-04-08
Avance Consulting,"4,5",Recrutamento e terceirização,2025-04-08
Mercor,"4,5",Recrutamento e terceirização,2025-04-08
Elevate Teams,"4,0",Recrutamento e terceirização,2025-04-08
JMW,"4,1",Recrutamento e terceirização,2025-04-08
JetBridge,"4,6",Recrutamento e terceirização,2025-04-08
Hire Now Company,"4,5",Recrutamento e terceirização,2025-04-08
Hire with Near,"4,9",Recrutamento e terceirização,2025-04-08
Talent International,"4,2",Recrutamento e terceirização,2025-04-08
Abiant,"4,2",Recrutamento e terceirização,2025-04-08
Lider Bpo,"4,3",Recrutamento e terceirização,2025-04-08
Time Etc,"4,9",Recrutamento e terceirização,2025-04-08
Doxa Talent,"4,5",Recrutamento e terceirização,2025-04-08
Brasfort,"4,0",Recrutamento e terceirização,2025-04-08
The Salem Group,"4,1",Recrutamento e terceirização,2025-04-08
beecrowd,"5,0",Recrutamento e terceirização,2025-04-08
Jelling IT Professionals,"4,8",Recrutamento e terceirização,2025-04-08
Work Better Now,"4,6",Recrutamento e terceirização,2025-04-08
SalesHunter,"4,9",Recrutamento e terceirização,2025-04-08
Digital Gurus,"4,3",Recrutamento e terceirização,2025-04-08
ICC,"4,0",Recrutamento e terceirização,2025-04-08
Talenses Group,"4,3",Recrutamento e terceirização,2025-04-08
Femina,"4,0",Recrutamento e terceirização,2025-04-08
Neo Tempus,"4,0",Recrutamento e terceirização,2025-04-08
ABR Employment Services,"4,1",Recrutamento e terceirização,2025-04-08
FiltaGlobal,"4,0",Recrutamento e terceirização,2025-04-08
Simera,"4,1",Recrutamento e terceirização,2025-04-08
Mane Contract Services,"4,3",Recrutamento e terceirização,2025-04-08
Libri (Brazil),"4,6",Recrutamento e terceirização,2025-04-08
