nome,nota,setor,data_ingestao
Grupo Moura,"4,2",Reparo e limpeza de veículos,2025-04-08
McDonald's Towing,"4,0",Reparo e limpeza de veículos,2025-04-08
RAC,"4,2",Reparo e limpeza de veículos,2025-04-08
Scania Hispania,"4,1",Reparo e limpeza de veículos,2025-04-08
Valecap Pneus e Truck Center,"4,2",Reparo e limpeza de veículos,2025-04-08
Grupo Chroma,"4,6",Reparo e limpeza de veículos,2025-04-08
Autotec Vistorias,"5,0",Reparo e limpeza de veículos,2025-04-08
Old River,"4,0",Reparo e limpeza de veículos,2025-04-08
Dent Clinic,"4,2",Reparo e limpeza de veículos,2025-04-08
Way 306,"4,3",Reparo e limpeza de veículos,2025-04-08
Finesse Auto,"5,0",Reparo e limpeza de veículos,2025-04-08
Grupo Promarcas,"5,0",Reparo e limpeza de veículos,2025-04-08
Ecolift,"4,7",Reparo e limpeza de veículos,2025-04-08
Triport,"5,0",Reparo e limpeza de veículos,2025-04-08
Grupo Filmin,"4,5",Reparo e limpeza de veículos,2025-04-08
Touring Car,"4,7",Reparo e limpeza de veículos,2025-04-08
West Motors,"4,4",Reparo e limpeza de veículos,2025-04-08
Truck Center Molaco,"4,0",Reparo e limpeza de veículos,2025-04-08
RENOVAÇÃO DE MOTOR,"5,0",Reparo e limpeza de veículos,2025-04-08
Piracicaba Eletrodiesel,"4,8",Reparo e limpeza de veículos,2025-04-08
H P Motors,"5,0",Reparo e limpeza de veículos,2025-04-08
JA Motors,"4,0",Reparo e limpeza de veículos,2025-04-08
Vallcar,"4,0",Reparo e limpeza de veículos,2025-04-08
Gominha Pneus ltda.,"5,0",Reparo e limpeza de veículos,2025-04-08
Nani Sound,"4,0",Reparo e limpeza de veículos,2025-04-08
Bodymotion,"5,0",Reparo e limpeza de veículos,2025-04-08
Premium Automotive Service,"4,0",Reparo e limpeza de veículos,2025-04-08
Hidraucambio Lajeado,"5,0",Reparo e limpeza de veículos,2025-04-08
Doalcar,"5,0",Reparo e limpeza de veículos,2025-04-08
