nome,nota,setor,data_ingestao
Teadit,"4,1",Reparo geral e manutenção,2025-04-08
GSH Group,"4,0",Reparo geral e manutenção,2025-04-08
Quality Welding Serviços,"4,2",Reparo geral e manutenção,2025-04-08
Nana,"4,0",Reparo geral e manutenção,2025-04-08
Ecoss Ambiental,"4,1",Reparo geral e manutenção,2025-04-08
ADEX,"4,1",Reparo geral e manutenção,2025-04-08
CETIP,"4,3",Reparo geral e manutenção,2025-04-08
Patria,"4,1",Reparo geral e manutenção,2025-04-08
VivaAer,"4,0",Reparo geral e manutenção,2025-04-08
Master Service Companies,"4,3",Reparo geral e manutenção,2025-04-08
Grupo Impacto Facilities,"4,0",Reparo geral e manutenção,2025-04-08
Astronautics,"4,2",Reparo geral e manutenção,2025-04-08
Locat SP,"4,7",Reparo geral e manutenção,2025-04-08
Grupo Anpla,"4,0",Reparo geral e manutenção,2025-04-08
Land Servicos e Engenharia,"4,3",Reparo geral e manutenção,2025-04-08
Servlar Portaria e Limpeza,"4,4",Reparo geral e manutenção,2025-04-08
Conami Servicos Industriais,"4,2",Reparo geral e manutenção,2025-04-08
GSC Transforma,"4,8",Reparo geral e manutenção,2025-04-08
Qualitécnica Comércio e Serviços,"4,2",Reparo geral e manutenção,2025-04-08
PK Companies,"4,4",Reparo geral e manutenção,2025-04-08
Lula,"4,1",Reparo geral e manutenção,2025-04-08
Excelência Serviços,"4,7",Reparo geral e manutenção,2025-04-08
MGM Administração de condomínios,"4,4",Reparo geral e manutenção,2025-04-08
Digiland,"4,0",Reparo geral e manutenção,2025-04-08
Othua,"4,0",Reparo geral e manutenção,2025-04-08
Fixer,"4,0",Reparo geral e manutenção,2025-04-08
General Air Conditioning & Plumbing,"4,8",Reparo geral e manutenção,2025-04-08
Só Reparos,"4,6",Reparo geral e manutenção,2025-04-08
Fox Commercial Services,"4,2",Reparo geral e manutenção,2025-04-08
Pardal Vic,"5,0",Reparo geral e manutenção,2025-04-08
Grupo VPS,"4,3",Reparo geral e manutenção,2025-04-08
Lovyca,"5,0",Reparo geral e manutenção,2025-04-08
FTA Produtos e Serviços Industriais,"4,6",Reparo geral e manutenção,2025-04-08
Pratika Serviços e Administração,"4,4",Reparo geral e manutenção,2025-04-08
Compumaq,"4,7",Reparo geral e manutenção,2025-04-08
TecLog GmbH,"4,5",Reparo geral e manutenção,2025-04-08
Engeserv Serviços,"5,0",Reparo geral e manutenção,2025-04-08
Navsupply,"4,5",Reparo geral e manutenção,2025-04-08
Grupo Sincro,"4,0",Reparo geral e manutenção,2025-04-08
TPE Services,"4,1",Reparo geral e manutenção,2025-04-08
Chris Wilson Plumbing and Heating,"5,0",Reparo geral e manutenção,2025-04-08
Previne Serviços Técnicos e Manutenção Industrial,"4,2",Reparo geral e manutenção,2025-04-08
Líder Serviços Terceirizados,"4,3",Reparo geral e manutenção,2025-04-08
BDS Ar Condicionado,"4,0",Reparo geral e manutenção,2025-04-08
Atto Service,"5,0",Reparo geral e manutenção,2025-04-08
Hartinst,"4,2",Reparo geral e manutenção,2025-04-08
FKM,"4,4",Reparo geral e manutenção,2025-04-08
Sykes Automotive Services,"5,0",Reparo geral e manutenção,2025-04-08
QualiTech Tereceirização,"4,6",Reparo geral e manutenção,2025-04-08
Positivo Service,"5,0",Reparo geral e manutenção,2025-04-08
MG Tech,"4,3",Reparo geral e manutenção,2025-04-08
Integra Electrical,"4,6",Reparo geral e manutenção,2025-04-08
REPAIR SOLUTIONS ENGENHARIA,"5,0",Reparo geral e manutenção,2025-04-08
londrina iluminação,"4,0",Reparo geral e manutenção,2025-04-08
Petropump,"5,0",Reparo geral e manutenção,2025-04-08
Lokaminas,"5,0",Reparo geral e manutenção,2025-04-08
Construtora Anastácio,"5,0",Reparo geral e manutenção,2025-04-08
Aerotech Brasil,"5,0",Reparo geral e manutenção,2025-04-08
AGC Segurança Patrimonial,"4,4",Reparo geral e manutenção,2025-04-08
Concessionária das Rodovias do Leste - Way112,"4,5",Reparo geral e manutenção,2025-04-08
EA Services,"4,5",Reparo geral e manutenção,2025-04-08
Fibersals,"5,0",Reparo geral e manutenção,2025-04-08
Centro Automotivo Macri,"5,0",Reparo geral e manutenção,2025-04-08
Wise Hands,"5,0",Reparo geral e manutenção,2025-04-08
Green Development and Maintenance,"5,0",Reparo geral e manutenção,2025-04-08
Geek Hero,"5,0",Reparo geral e manutenção,2025-04-08
Top Industrial,"5,0",Reparo geral e manutenção,2025-04-08
Dam Serviços E Manutenções,"4,5",Reparo geral e manutenção,2025-04-08
ACSistem Ar Condicionado,"4,1",Reparo geral e manutenção,2025-04-08
Trampo Pintura,"5,0",Reparo geral e manutenção,2025-04-08
Inova Cobrança,"5,0",Reparo geral e manutenção,2025-04-08
JTA Gesso,"5,0",Reparo geral e manutenção,2025-04-08
Barella Plast,"5,0",Reparo geral e manutenção,2025-04-08
HB Energy Solutions,"5,0",Reparo geral e manutenção,2025-04-08
NC Grupo Empresarial,"5,0",Reparo geral e manutenção,2025-04-08
Sna Engenharia,"5,0",Reparo geral e manutenção,2025-04-08
Quality Granite & Marble,"4,5",Reparo geral e manutenção,2025-04-08
Pinheiral Home Center,"5,0",Reparo geral e manutenção,2025-04-08
Hot Parts,"5,0",Reparo geral e manutenção,2025-04-08
Flora Eto Plantas e Jardins,"5,0",Reparo geral e manutenção,2025-04-08
Serviços de Limpeza e Portaria,"5,0",Reparo geral e manutenção,2025-04-08
Hera Manutenção Industrial,"5,0",Reparo geral e manutenção,2025-04-08
Grupo Vitória Diesel,"5,0",Reparo geral e manutenção,2025-04-08
Pontual Freios,"4,0",Reparo geral e manutenção,2025-04-08
Setter Comércio e Serviços Gerais,"4,4",Reparo geral e manutenção,2025-04-08
Tecsame,"5,0",Reparo geral e manutenção,2025-04-08
CBE Conservator of Pumps,"5,0",Reparo geral e manutenção,2025-04-08
Limpind,"4,0",Reparo geral e manutenção,2025-04-08
Inspefas,"4,3",Reparo geral e manutenção,2025-04-08
Multiplus (Guarulhos Brazil),"5,0",Reparo geral e manutenção,2025-04-08
