nome,nota,setor,data_ingestao
Chick-fil-A Corporate,"4,0",Restaurantes e cafés,2025-04-08
Bob’s Burgers,"4,5",Restaurantes e cafés,2025-04-08
Raising Cane's,"4,1",Restaurantes e cafés,2025-04-08
Toks Restaurantes,"4,3",Restaurantes e cafés,2025-04-08
Bella Italia,"4,0",Restaurantes e cafés,2025-04-08
Wasabi Sushi and Bento,"4,1",Restaurantes e cafés,2025-04-08
ASK Italian,"4,4",Restaurantes e cafés,2025-04-08
In-N-Out Burger,"4,4",Restaurantes e cafés,2025-04-08
ALEX,"4,0",Restaurantes e cafés,2025-04-08
Mercatto,"4,3",Restaurantes e cafés,2025-04-08
TBD,"4,0",Restaurantes e cafés,2025-04-08
Pita Pit,"4,0",Restaurantes e cafés,2025-04-08
Ooo,"4,0",Restaurantes e cafés,2025-04-08
Lou Malnati's Pizzeria,"4,0",Restaurantes e cafés,2025-04-08
Tony Roma's,"4,3",Restaurantes e cafés,2025-04-08
CMR,"4,1",Restaurantes e cafés,2025-04-08
National Geographic Society,"4,0",Restaurantes e cafés,2025-04-08
Lola's Cupcakes,"4,1",Restaurantes e cafés,2025-04-08
LaRosa's,"4,0",Restaurantes e cafés,2025-04-08
Ted's Montana Grill,"4,1",Restaurantes e cafés,2025-04-08
Tatá Sushi,"4,7",Restaurantes e cafés,2025-04-08
Lettuce Entertain You,"4,0",Restaurantes e cafés,2025-04-08
Luna Grill,"4,0",Restaurantes e cafés,2025-04-08
The Capital Grille,"4,1",Restaurantes e cafés,2025-04-08
MJM,"4,4",Restaurantes e cafés,2025-04-08
Skyline Chili,"4,0",Restaurantes e cafés,2025-04-08
Fazenda Rodizio Bar & Grill,"4,0",Restaurantes e cafés,2025-04-08
Mi Cocina,"4,0",Restaurantes e cafés,2025-04-08
Carvel,"4,3",Restaurantes e cafés,2025-04-08
Kobe Japanese Steakhouse,"4,0",Restaurantes e cafés,2025-04-08
H H & J Knoll Enterprises,"4,3",Restaurantes e cafés,2025-04-08
Bobby's Burger Palace,"4,0",Restaurantes e cafés,2025-04-08
Cafe 1500,"4,1",Restaurantes e cafés,2025-04-08
Kitchen United,"4,4",Restaurantes e cafés,2025-04-08
Imo's Pizza,"4,1",Restaurantes e cafés,2025-04-08
Xi'an Famous Foods,"4,3",Restaurantes e cafés,2025-04-08
Big Night Entertainment Group,"4,0",Restaurantes e cafés,2025-04-08
Mocotó Restaurante,"4,8",Restaurantes e cafés,2025-04-08
Café Orfeu,"4,5",Restaurantes e cafés,2025-04-08
Garibaldi,"4,3",Restaurantes e cafés,2025-04-08
Havana Central Restaurant and Bar,"4,0",Restaurantes e cafés,2025-04-08
Rodrigo's Mexican Grill,"4,0",Restaurantes e cafés,2025-04-08
Andorinha Hiper Center,"4,0",Restaurantes e cafés,2025-04-08
"Sakura Japanese Steak, Seafood & Sushi","4,1",Restaurantes e cafés,2025-04-08
Bianca,"4,3",Restaurantes e cafés,2025-04-08
La Boucherie Restaurants,"4,2",Restaurantes e cafés,2025-04-08
Villa Sucreê Alimentos,"4,8",Restaurantes e cafés,2025-04-08
Emerald City Smoothie,"4,0",Restaurantes e cafés,2025-04-08
Cafe,"4,1",Restaurantes e cafés,2025-04-08
Hotel Tivoli,"4,2",Restaurantes e cafés,2025-04-08
Luigi's Pizza,"4,1",Restaurantes e cafés,2025-04-08
Kanpai,"4,0",Restaurantes e cafés,2025-04-08
Number One Chicken,"4,0",Restaurantes e cafés,2025-04-08
"TM/MD Pizza Hut International, LLC","4,0",Restaurantes e cafés,2025-04-08
Pizza Nova,"4,0",Restaurantes e cafés,2025-04-08
Grupo Gynsol,"4,0",Restaurantes e cafés,2025-04-08
Cantina 76,"4,7",Restaurantes e cafés,2025-04-08
Delfina Restaurant Group,"4,4",Restaurantes e cafés,2025-04-08
Loving Hut,"4,3",Restaurantes e cafés,2025-04-08
