nome,nota,setor,data_ingestao
Porto,"4,3",Seguradoras,2025-04-08
Zurich Insurance,"4,2",Seguradoras,2025-04-08
Bradesco Seguros,"4,1",Seguradoras,2025-04-08
Icatu Seguros,"4,3",Seguradoras,2025-04-08
MAG Seguros,"4,3",Seguradoras,2025-04-08
Odontoprev (Brazil),"4,1",Seguradoras,2025-04-08
Travelers,"4,1",Seguradoras,2025-04-08
Seguros Unimed,"4,2",Seguradoras,2025-04-08
Brasilseg Seguradora,"4,0",Seguradoras,2025-04-08
Pottencial Seguradora,"4,2",Seguradoras,2025-04-08
Sompo Holdings,"4,1",Seguradoras,2025-04-08
Fidelity National Financial,"4,1",Seguradoras,2025-04-08
Grupo Sabemi,"4,2",Seguradoras,2025-04-08
Munich Re,"4,1",Seguradoras,2025-04-08
Tokio Marine America,"4,2",Seguradoras,2025-04-08
ICICI Prudential Life Insurance,"4,4",Seguradoras,2025-04-08
CNP Assurances,"4,0",Seguradoras,2025-04-08
Tokio Marine HCC,"4,0",Seguradoras,2025-04-08
Pitzi,"4,3",Seguradoras,2025-04-08
Excelsior Seguros,"4,6",Seguradoras,2025-04-08
ALFA,"4,2",Seguradoras,2025-04-08
Sun Life,"4,0",Seguradoras,2025-04-08
Justos,"4,4",Seguradoras,2025-04-08
MMA,"4,0",Seguradoras,2025-04-08
Grupo Nacional Provincial,"4,2",Seguradoras,2025-04-08
Azos,"4,6",Seguradoras,2025-04-08
Delta Dental Plans Association,"4,0",Seguradoras,2025-04-08
Akad Seguros,"4,6",Seguradoras,2025-04-08
Atradius,"4,2",Seguradoras,2025-04-08
Suhai Seguradora,"4,2",Seguradoras,2025-04-08
iA Groupe financier,"4,0",Seguradoras,2025-04-08
Ebaotech,"4,0",Seguradoras,2025-04-08
MDS Group,"4,2",Seguradoras,2025-04-08
Markel,"4,1",Seguradoras,2025-04-08
CFC,"4,0",Seguradoras,2025-04-08
Suhai Seguros,"4,0",Seguradoras,2025-04-08
Aspen,"4,1",Seguradoras,2025-04-08
Medicare y Mucho Mas,"4,1",Seguradoras,2025-04-08
Genworth,"4,2",Seguradoras,2025-04-08
Caixa Residencial,"4,2",Seguradoras,2025-04-08
Sammons Financial Group Companies,"4,2",Seguradoras,2025-04-08
Tokio Marine North America Services,"4,3",Seguradoras,2025-04-08
AXA / France,"4,1",Seguradoras,2025-04-08
Valiant Seguros,"4,0",Seguradoras,2025-04-08
Arch Capital,"4,2",Seguradoras,2025-04-08
Malakoff Humanis,"4,2",Seguradoras,2025-04-08
Prudential Assurance Singapore,"4,0",Seguradoras,2025-04-08
FCCI Insurance Group,"4,1",Seguradoras,2025-04-08
belairdirect,"4,2",Seguradoras,2025-04-08
Farm Bureau Financial Services,"4,1",Seguradoras,2025-04-08
NN Group,"4,3",Seguradoras,2025-04-08
Ageas,"4,0",Seguradoras,2025-04-08
IAT Insurance Group,"4,3",Seguradoras,2025-04-08
Beneva,"4,0",Seguradoras,2025-04-08
IZA,"4,2",Seguradoras,2025-04-08
American Modern Insurance,"4,3",Seguradoras,2025-04-08
SBK Siemens-Betriebskrankenkasse,"4,1",Seguradoras,2025-04-08
a.s.r.,"4,1",Seguradoras,2025-04-08
PFP,"4,2",Seguradoras,2025-04-08
Sanitas,"4,4",Seguradoras,2025-04-08
Bunker,"4,0",Seguradoras,2025-04-08
Southern Farm Bureau Life,"4,5",Seguradoras,2025-04-08
Americo Life,"4,4",Seguradoras,2025-04-08
Capital Title of Texas,"4,4",Seguradoras,2025-04-08
CZ,"4,3",Seguradoras,2025-04-08
HGA SEGUROS,"4,7",Seguradoras,2025-04-08
Seven Seguros,"4,8",Seguradoras,2025-04-08
Falcon Insurance Group,"4,1",Seguradoras,2025-04-08
Flix,"4,4",Seguradoras,2025-04-08
Portfolio,"4,1",Seguradoras,2025-04-08
ILSA,"4,3",Seguradoras,2025-04-08
SLB Insurance Group,"4,3",Seguradoras,2025-04-08
Deutsche Gesetzliche Unfallversicherung,"4,1",Seguradoras,2025-04-08
Avalora,"4,2",Seguradoras,2025-04-08
Adventist Risk Management,"4,0",Seguradoras,2025-04-08
GVV Versicherungen,"4,4",Seguradoras,2025-04-08
GSG,"4,1",Seguradoras,2025-04-08
Paraná Assistência Médica,"4,0",Seguradoras,2025-04-08
TJK Seguros,"4,3",Seguradoras,2025-04-08
Reolon Corretora de Seguros,"4,6",Seguradoras,2025-04-08
Nacora,"4,5",Seguradoras,2025-04-08
Apross,"4,1",Seguradoras,2025-04-08
LCTA Workers' Comp,"4,7",Seguradoras,2025-04-08
Protenseg Corretora de Seguros,"5,0",Seguradoras,2025-04-08
Portlight,"4,5",Seguradoras,2025-04-08
Luminus Assessoria em Seguros,"5,0",Seguradoras,2025-04-08
WGB Seguro,"5,0",Seguradoras,2025-04-08
AutoCar Proteção Veicular,"4,0",Seguradoras,2025-04-08
Triad Proteção,"5,0",Seguradoras,2025-04-08
Prevsea Consultoria em Seguros,"5,0",Seguradoras,2025-04-08
Terakai Garantia Motor e Câmbio,"5,0",Seguradoras,2025-04-08
Autokar Brasil,"5,0",Seguradoras,2025-04-08
