nome,nota,setor,data_ingestao
Porto,"4,3",Seguro,2025-04-08
Zurich Insurance,"4,2",Seguro,2025-04-08
Bradesco Seguros,"4,1",Seguro,2025-04-08
Icatu Seguros,"4,3",Seguro,2025-04-08
MAG Seguros,"4,3",Seguro,2025-04-08
Swiss Re,"4,0",Seguro,2025-04-08
Marsh,"4,0",Seguro,2025-04-08
Lockton Companies,"4,1",Seguro,2025-04-08
W1 Consultoria,"4,0",Seguro,2025-04-08
Odontoprev (Brazil),"4,1",Seguro,2025-04-08
Travelers,"4,1",Seguro,2025-04-08
Brasilprev Seguros e Previdência,"4,4",Seguro,2025-04-08
Seguros Unimed,"4,2",Seguro,2025-04-08
Brasilseg Seguradora,"4,0",Seguro,2025-04-08
Pottencial Seguradora,"4,2",Seguro,2025-04-08
Sompo Holdings,"4,1",Seguro,2025-04-08
Fidelity National Financial,"4,1",Seguro,2025-04-08
Grupo Sabemi,"4,2",Seguro,2025-04-08
Munich Re,"4,1",Seguro,2025-04-08
Tokio Marine America,"4,2",Seguro,2025-04-08
ICICI Prudential Life Insurance,"4,4",Seguro,2025-04-08
CNP Assurances,"4,0",Seguro,2025-04-08
Tokio Marine HCC,"4,0",Seguro,2025-04-08
Pitzi,"4,3",Seguro,2025-04-08
Rede Lojacorr,"4,1",Seguro,2025-04-08
Excelsior Seguros,"4,6",Seguro,2025-04-08
Guy Carpenter,"4,0",Seguro,2025-04-08
ALFA,"4,2",Seguro,2025-04-08
Caixa Seguradora,"4,1",Seguro,2025-04-08
Sun Life,"4,0",Seguro,2025-04-08
AXA Seguros,"4,1",Seguro,2025-04-08
Gesto Saúde e Tecnologia,"4,0",Seguro,2025-04-08
Justos,"4,4",Seguro,2025-04-08
MMA,"4,0",Seguro,2025-04-08
Grupo Nacional Provincial,"4,2",Seguro,2025-04-08
Metlife,"4,1",Seguro,2025-04-08
Itau Corretora de Seguros,"4,0",Seguro,2025-04-08
180 Seguros,"4,2",Seguro,2025-04-08
Azos,"4,6",Seguro,2025-04-08
Delta Dental Plans Association,"4,0",Seguro,2025-04-08
SCIATH,"4,2",Seguro,2025-04-08
CNP Seguradora,"4,1",Seguro,2025-04-08
Akad Seguros,"4,6",Seguro,2025-04-08
Atradius,"4,2",Seguro,2025-04-08
Suhai Seguradora,"4,2",Seguro,2025-04-08
Real Seguro Viagem,"4,5",Seguro,2025-04-08
Liberty Seguros,"4,4",Seguro,2025-04-08
Mapfre Seguros,"4,0",Seguro,2025-04-08
iA Groupe financier,"4,0",Seguro,2025-04-08
Ebaotech,"4,0",Seguro,2025-04-08
USI Insurance Services,"4,1",Seguro,2025-04-08
MDS Group,"4,2",Seguro,2025-04-08
Markel,"4,1",Seguro,2025-04-08
CFC,"4,0",Seguro,2025-04-08
Suhai Seguros,"4,0",Seguro,2025-04-08
Marsh McLennan Agency,"4,2",Seguro,2025-04-08
Aspen,"4,1",Seguro,2025-04-08
Medicare y Mucho Mas,"4,1",Seguro,2025-04-08
Genworth,"4,2",Seguro,2025-04-08
Compare Seguros,"4,8",Seguro,2025-04-08
XIPP,"4,5",Seguro,2025-04-08
Kereis France,"4,0",Seguro,2025-04-08
JC Luz Corretora de Seguros,"4,7",Seguro,2025-04-08
Caixa Residencial,"4,2",Seguro,2025-04-08
