nome,nota,setor,data_ingestao
Liv Up,"4,2",Serviço de bufê e prestação de serviços de alimentação,2025-04-08
Grupo The Best,"4,0",Serviço de bufê e prestação de serviços de alimentação,2025-04-08
Restaurant Associates,"4,2",Serviço de bufê e prestação de serviços de alimentação,2025-04-08
Muito Mais Alimentação,"4,2",Serviço de bufê e prestação de serviços de alimentação,2025-04-08
Hot Dog on a Stick,"4,0",Serviço de bufê e prestação de serviços de alimentação,2025-04-08
ABC Corp,"4,1",Serviço de bufê e prestação de serviços de alimentação,2025-04-08
MRN,"4,1",Serviço de bufê e prestação de serviços de alimentação,2025-04-08
Llinea Soluções em Alimentação,"4,2",Serviço de bufê e prestação de serviços de alimentação,2025-04-08
Professional Bartenders & Servers,"4,5",Serviço de bufê e prestação de serviços de alimentação,2025-04-08
Lacerda Alimentação,"4,4",Serviço de bufê e prestação de serviços de alimentação,2025-04-08
HMG Plus,"4,4",Serviço de bufê e prestação de serviços de alimentação,2025-04-08
Nonna's Pizza,"4,2",Serviço de bufê e prestação de serviços de alimentação,2025-04-08
Veritable Vegetable,"4,0",Serviço de bufê e prestação de serviços de alimentação,2025-04-08
Nutricopia,"4,1",Serviço de bufê e prestação de serviços de alimentação,2025-04-08
HCM Horto Central Marataizes,"4,2",Serviço de bufê e prestação de serviços de alimentação,2025-04-08
Alimentta Restaurantes Empresariais,"4,5",Serviço de bufê e prestação de serviços de alimentação,2025-04-08
Deborah Miller Catering & Events,"4,3",Serviço de bufê e prestação de serviços de alimentação,2025-04-08
2G2M,"5,0",Serviço de bufê e prestação de serviços de alimentação,2025-04-08
alimentaSesi,"4,7",Serviço de bufê e prestação de serviços de alimentação,2025-04-08
Pão e Talho,"5,0",Serviço de bufê e prestação de serviços de alimentação,2025-04-08
All Line Foods,"5,0",Serviço de bufê e prestação de serviços de alimentação,2025-04-08
Nutrivip Alimentação,"5,0",Serviço de bufê e prestação de serviços de alimentação,2025-04-08
Bom Degusty Arte Em Alimentos,"5,0",Serviço de bufê e prestação de serviços de alimentação,2025-04-08
Folia e Fantasia,"4,7",Serviço de bufê e prestação de serviços de alimentação,2025-04-08
Nutrimed Rio (Brazil),"5,0",Serviço de bufê e prestação de serviços de alimentação,2025-04-08
Stutz Soluções em Alimentação,"4,5",Serviço de bufê e prestação de serviços de alimentação,2025-04-08
Adial,"5,0",Serviço de bufê e prestação de serviços de alimentação,2025-04-08
Miwa Co-Kitchens,"4,5",Serviço de bufê e prestação de serviços de alimentação,2025-04-08
Megusta Gourmet,"5,0",Serviço de bufê e prestação de serviços de alimentação,2025-04-08
Nutrik,"5,0",Serviço de bufê e prestação de serviços de alimentação,2025-04-08
