nome,nota,setor,data_ingestao
Azul - Linhas Aéreas Brasileiras,"4,2","Serviços aéreos, de aeroportos e de companhias aéreas",2025-04-08
LATAM,"4,4","Serviços aéreos, de aeroportos e de companhias aéreas",2025-04-08
Avianca,"4,1","Serviços aéreos, de aeroportos e de companhias aéreas",2025-04-08
Delta Air Lines,"4,2","Serviços aéreos, de aeroportos e de companhias aéreas",2025-04-08
Air France,"4,1","Serviços aéreos, de aeroportos e de companhias aéreas",2025-04-08
LATAM AIRLINES GROUP,"4,1","Serviços aéreos, de aeroportos e de companhias aéreas",2025-04-08
Inframerica,"4,2","Serviços aéreos, de aeroportos e de companhias aéreas",2025-04-08
DMS Logistics (Brazil),"4,1","Serviços aéreos, de aeroportos e de companhias aéreas",2025-04-08
ÁguiaBranca,"4,1","Serviços aéreos, de aeroportos e de companhias aéreas",2025-04-08
Copa Airlines,"4,2","Serviços aéreos, de aeroportos e de companhias aéreas",2025-04-08
TAM Aviação Executiva,"4,0","Serviços aéreos, de aeroportos e de companhias aéreas",2025-04-08
Aeromexico,"4,0","Serviços aéreos, de aeroportos e de companhias aéreas",2025-04-08
KLM,"4,0","Serviços aéreos, de aeroportos e de companhias aéreas",2025-04-08
easyJet,"4,2","Serviços aéreos, de aeroportos e de companhias aéreas",2025-04-08
Swiss International Air Lines,"4,0","Serviços aéreos, de aeroportos e de companhias aéreas",2025-04-08
Varig,"4,6","Serviços aéreos, de aeroportos e de companhias aéreas",2025-04-08
Jet Airways,"4,4","Serviços aéreos, de aeroportos e de companhias aéreas",2025-04-08
Karuana Serviços Auxiliares de Transporte Aéreo,"4,4","Serviços aéreos, de aeroportos e de companhias aéreas",2025-04-08
SEA-AIR Cargo,"4,3","Serviços aéreos, de aeroportos e de companhias aéreas",2025-04-08
Eve Air Mobility,"4,7","Serviços aéreos, de aeroportos e de companhias aéreas",2025-04-08
Kenya Airways,"4,0","Serviços aéreos, de aeroportos e de companhias aéreas",2025-04-08
Confiança Consolidadora,"4,5","Serviços aéreos, de aeroportos e de companhias aéreas",2025-04-08
Condor Flugdienst,"4,0","Serviços aéreos, de aeroportos e de companhias aéreas",2025-04-08
R P Atividades Auxiliares ao Transpote Aéreo,"4,1","Serviços aéreos, de aeroportos e de companhias aéreas",2025-04-08
Baruel Van,"4,3","Serviços aéreos, de aeroportos e de companhias aéreas",2025-04-08
PMB,"4,1","Serviços aéreos, de aeroportos e de companhias aéreas",2025-04-08
NIKI,"4,0","Serviços aéreos, de aeroportos e de companhias aéreas",2025-04-08
Global Aviation,"4,0","Serviços aéreos, de aeroportos e de companhias aéreas",2025-04-08
Partner Internacional,"4,0","Serviços aéreos, de aeroportos e de companhias aéreas",2025-04-08
Webjet Linhas Aéreas,"4,4","Serviços aéreos, de aeroportos e de companhias aéreas",2025-04-08
Brasil Aviation,"4,1","Serviços aéreos, de aeroportos e de companhias aéreas",2025-04-08
Flight Express,"4,7","Serviços aéreos, de aeroportos e de companhias aéreas",2025-04-08
AirlinePros International,"4,3","Serviços aéreos, de aeroportos e de companhias aéreas",2025-04-08
Aucon Tecnologia,"4,6","Serviços aéreos, de aeroportos e de companhias aéreas",2025-04-08
PremiAir,"4,7","Serviços aéreos, de aeroportos e de companhias aéreas",2025-04-08
Aeroporto Santos Dumont,"5,0","Serviços aéreos, de aeroportos e de companhias aéreas",2025-04-08
DIX Aeroportos,"5,0","Serviços aéreos, de aeroportos e de companhias aéreas",2025-04-08
Cabo Frio Airport,"4,5","Serviços aéreos, de aeroportos e de companhias aéreas",2025-04-08
Marlim Aviation,"5,0","Serviços aéreos, de aeroportos e de companhias aéreas",2025-04-08
ASAP Facilities,"5,0","Serviços aéreos, de aeroportos e de companhias aéreas",2025-04-08
Varig Airlines,"4,0","Serviços aéreos, de aeroportos e de companhias aéreas",2025-04-08
CMA Aviação,"5,0","Serviços aéreos, de aeroportos e de companhias aéreas",2025-04-08
LE Master Metálicas,"5,0","Serviços aéreos, de aeroportos e de companhias aéreas",2025-04-08
