nome,nota,setor,data_ingestao
Itaú Unibanco (Itaú BBA e Rede),"4,4",Serviços bancários e de crédito,2025-04-08
Banco Bradesco,"4,1",Serviços bancários e de crédito,2025-04-08
Banco do Brasil,"4,4",Serviços bancários e de crédito,2025-04-08
Nubank,"4,4",Serviços bancários e de crédito,2025-04-08
Caixa Econômica Federal,"4,4",Serviços bancários e de crédito,2025-04-08
Creditas,"4,0",Serviços bancários e de crédito,2025-04-08
Sicredi,"4,4",Serviços bancários e de crédito,2025-04-08
JPMorganChase,"4,5",Serviços bancários e de crédito,2025-04-08
banco BV,"4,4",Serviços bancários e de crédito,2025-04-08
Banco Itaú,"4,3",Serviços bancários e de crédito,2025-04-08
Agibank,"4,0",Serviços bancários e de crédito,2025-04-08
Serasa,"4,0",Serviços bancários e de crédito,2025-04-08
Banrisul,"4,2",Serviços bancários e de crédito,2025-04-08
will bank,"4,2",Serviços bancários e de crédito,2025-04-08
Unicred,"4,2",Serviços bancários e de crédito,2025-04-08
Banco Bmg,"4,0",Serviços bancários e de crédito,2025-04-08
Cresol,"4,4",Serviços bancários e de crédito,2025-04-08
Centro Cooperativo Sicoob - CCS,"4,1",Serviços bancários e de crédito,2025-04-08
Alelo,"4,4",Serviços bancários e de crédito,2025-04-08
Bradesco,"4,0",Serviços bancários e de crédito,2025-04-08
Rabobank,"4,1",Serviços bancários e de crédito,2025-04-08
Central Ailos,"4,3",Serviços bancários e de crédito,2025-04-08
Banco Carrefour,"4,0",Serviços bancários e de crédito,2025-04-08
Paraná Banco,"4,2",Serviços bancários e de crédito,2025-04-08
Banco ABC Brasil,"4,2",Serviços bancários e de crédito,2025-04-08
Grupo Travelex Confidence,"4,0",Serviços bancários e de crédito,2025-04-08
Viacredi Cooperativa de Crédito,"4,2",Serviços bancários e de crédito,2025-04-08
Solfácil,"4,0",Serviços bancários e de crédito,2025-04-08
Banco de Brasília,"4,3",Serviços bancários e de crédito,2025-04-08
Núclea,"4,1",Serviços bancários e de crédito,2025-04-08
Blu,"4,3",Serviços bancários e de crédito,2025-04-08
Rede,"4,2",Serviços bancários e de crédito,2025-04-08
The World Bank,"4,1",Serviços bancários e de crédito,2025-04-08
Mercado Pago,"4,2",Serviços bancários e de crédito,2025-04-08
FortBrasil,"4,3",Serviços bancários e de crédito,2025-04-08
Santander Río,"4,0",Serviços bancários e de crédito,2025-04-08
Banco Sofisa,"4,2",Serviços bancários e de crédito,2025-04-08
ABN AMRO,"4,0",Serviços bancários e de crédito,2025-04-08
Julius Baer,"4,0",Serviços bancários e de crédito,2025-04-08
Conta Simples,"4,1",Serviços bancários e de crédito,2025-04-08
Omni Financeira,"4,2",Serviços bancários e de crédito,2025-04-08
BBVA,"4,2",Serviços bancários e de crédito,2025-04-08
CIBC,"4,0",Serviços bancários e de crédito,2025-04-08
NatWest Group,"4,1",Serviços bancários e de crédito,2025-04-08
CredSystem,"4,4",Serviços bancários e de crédito,2025-04-08
Inter-American Development Bank,"4,0",Serviços bancários e de crédito,2025-04-08
Desjardins,"4,1",Serviços bancários e de crédito,2025-04-08
Commerzbank,"4,1",Serviços bancários e de crédito,2025-04-08
Nomad Global,"4,3",Serviços bancários e de crédito,2025-04-08
Afinz,"4,0",Serviços bancários e de crédito,2025-04-08
Portocred,"4,3",Serviços bancários e de crédito,2025-04-08
Standard Bank Group,"4,2",Serviços bancários e de crédito,2025-04-08
SuperSim,"4,3",Serviços bancários e de crédito,2025-04-08
CashMe,"4,2",Serviços bancários e de crédito,2025-04-08
Fontes Promotora de Crédito,"4,1",Serviços bancários e de crédito,2025-04-08
Bem Promotora,"4,4",Serviços bancários e de crédito,2025-04-08
BizCapital,"4,6",Serviços bancários e de crédito,2025-04-08
Ali Crédito,"4,0",Serviços bancários e de crédito,2025-04-08
Movile Pay,"4,3",Serviços bancários e de crédito,2025-04-08
Grafeno Digital,"4,0",Serviços bancários e de crédito,2025-04-08
Fannie Mae,"4,1",Serviços bancários e de crédito,2025-04-08
Absa,"4,0",Serviços bancários e de crédito,2025-04-08
Banco do Estado do Rio Grande do Sul,"4,2",Serviços bancários e de crédito,2025-04-08
Grupo H,"4,3",Serviços bancários e de crédito,2025-04-08
Voiter,"4,0",Serviços bancários e de crédito,2025-04-08
Consórcio Magalu,"4,4",Serviços bancários e de crédito,2025-04-08
Banco Semear,"4,1",Serviços bancários e de crédito,2025-04-08
Banese,"4,1",Serviços bancários e de crédito,2025-04-08
Bread Financial,"4,5",Serviços bancários e de crédito,2025-04-08
Upgrade,"4,0",Serviços bancários e de crédito,2025-04-08
Silicon Valley Bank,"4,2",Serviços bancários e de crédito,2025-04-08
Pagaleve,"4,6",Serviços bancários e de crédito,2025-04-08
Nordea Bank,"4,0",Serviços bancários e de crédito,2025-04-08
Alfa Bank,"4,6",Serviços bancários e de crédito,2025-04-08
Banque Nationale du Canada/National Bank of Canada,"4,0",Serviços bancários e de crédito,2025-04-08
CrediPronto,"4,4",Serviços bancários e de crédito,2025-04-08
CAT Financial,"4,0",Serviços bancários e de crédito,2025-04-08
First Republic,"4,5",Serviços bancários e de crédito,2025-04-08
CIC,"4,0",Serviços bancários e de crédito,2025-04-08
Viacredi Alto Vale,"4,6",Serviços bancários e de crédito,2025-04-08
