nome,nota,setor,data_ingestao
Tuise Gestão Integrada,"4,2",Serviços de ambulância e de transporte médico,2025-04-08
Ambitrans,"4,1",Serviços de ambulância e de transporte médico,2025-04-08
WF Control,"4,5",Serviços de ambulância e de transporte médico,2025-04-08
Removida Emergências Medicas,"5,0",Serviços de ambulância e de transporte médico,2025-04-08
CON7 Emergências Médicas,"5,0",Serviços de ambulância e de transporte médico,2025-04-08
Vector Saúde,"4,0",Serviços de ambulância e de transporte médico,2025-04-08
CISTRI,"4,7",Serviços de ambulância e de transporte médico,2025-04-08
Transul Emergências Médicas,"5,0",Serviços de ambulância e de transporte médico,2025-04-08
New Med Emergencias Medicas LTDA,"5,0",Serviços de ambulância e de transporte médico,2025-04-08
ECG Solutions,"4,0",Serviços de ambulância e de transporte médico,2025-04-08
