nome,nota,setor,data_ingestao
UPL,"4,1",Serviços de apoio à agricultura e silvicultura,2025-04-08
Jacto Agrícola,"4,1",Serviços de apoio à agricultura e silvicultura,2025-04-08
Pioneer,"4,3",Serviços de apoio à agricultura e silvicultura,2025-04-08
KWS Group,"4,1",Serviços de apoio à agricultura e silvicultura,2025-04-08
Alltech,"4,1",Serviços de apoio à agricultura e silvicultura,2025-04-08
Copersucar,"4,0",Serviços de apoio à agricultura e silvicultura,2025-04-08
Ourofino Agrociência,"4,0",Serviços de apoio à agricultura e silvicultura,2025-04-08
Aegro,"4,3",Serviços de apoio à agricultura e silvicultura,2025-04-08
Agroceres,"4,2",Serviços de apoio à agricultura e silvicultura,2025-04-08
Cooperativa Central dos Produtores Rurais de Minas Gerais (CCPR),"4,4",Serviços de apoio à agricultura e silvicultura,2025-04-08
J.Assy,"4,0",Serviços de apoio à agricultura e silvicultura,2025-04-08
Fiagril Participações,"4,1",Serviços de apoio à agricultura e silvicultura,2025-04-08
Koppert Biological Systems,"4,0",Serviços de apoio à agricultura e silvicultura,2025-04-08
Novus International,"4,0",Serviços de apoio à agricultura e silvicultura,2025-04-08
Alliance One,"4,0",Serviços de apoio à agricultura e silvicultura,2025-04-08
Nater Coop,"4,3",Serviços de apoio à agricultura e silvicultura,2025-04-08
Ouro Safra,"4,1",Serviços de apoio à agricultura e silvicultura,2025-04-08
Netafim,"4,1",Serviços de apoio à agricultura e silvicultura,2025-04-08
Fundepag,"4,1",Serviços de apoio à agricultura e silvicultura,2025-04-08
Agrocete Indústria de Fertilizantes,"4,2",Serviços de apoio à agricultura e silvicultura,2025-04-08
Terrena,"4,2",Serviços de apoio à agricultura e silvicultura,2025-04-08
Arla Foods,"4,1",Serviços de apoio à agricultura e silvicultura,2025-04-08
Taranis,"4,0",Serviços de apoio à agricultura e silvicultura,2025-04-08
La Vita Alimentos Agroindústria,"4,2",Serviços de apoio à agricultura e silvicultura,2025-04-08
Cooperflora,"4,6",Serviços de apoio à agricultura e silvicultura,2025-04-08
Advanced Nutrients,"4,5",Serviços de apoio à agricultura e silvicultura,2025-04-08
Drakkar Solos,"4,2",Serviços de apoio à agricultura e silvicultura,2025-04-08
Cooperativa Tritícola Santa Rosa,"4,1",Serviços de apoio à agricultura e silvicultura,2025-04-08
Case IH,"4,0",Serviços de apoio à agricultura e silvicultura,2025-04-08
