nome,nota,setor,data_ingestao
IBM,"4,0",Serviços de apoio à tecnologia da informação,2025-04-08
TOTVS,"4,3",Serviços de apoio à tecnologia da informação,2025-04-08
Hewlett Packard Enterprise | HPE,"4,1",Serviços de apoio à tecnologia da informação,2025-04-08
BRQ,"4,1",Serviços de apoio à tecnologia da informação,2025-04-08
BairesDev,"4,1",Serviços de apoio à tecnologia da informação,2025-04-08
GFT Technologies,"4,2",Serviços de apoio à tecnologia da informação,2025-04-08
Ambev Tech,"4,1",Serviços de apoio à tecnologia da informação,2025-04-08
Meta IT,"4,1",Serviços de apoio à tecnologia da informação,2025-04-08
Hotmart,"4,1",Serviços de apoio à tecnologia da informação,2025-04-08
Cast Group,"4,2",Serviços de apoio à tecnologia da informação,2025-04-08
Encora,"4,4",Serviços de apoio à tecnologia da informação,2025-04-08
Radix Engenharia e Software,"4,4",Serviços de apoio à tecnologia da informação,2025-04-08
Simpress,"4,2",Serviços de apoio à tecnologia da informação,2025-04-08
Centro de Estudos e Sistemas Avançados do Recife - C.E.S.A.R,"4,1",Serviços de apoio à tecnologia da informação,2025-04-08
Spread,"4,2",Serviços de apoio à tecnologia da informação,2025-04-08
MJV Tecnologia e Inovação,"4,0",Serviços de apoio à tecnologia da informação,2025-04-08
NAVA Technology for Business,"4,1",Serviços de apoio à tecnologia da informação,2025-04-08
Invillia,"4,2",Serviços de apoio à tecnologia da informação,2025-04-08
Iteris Consultoria e Software,"4,1",Serviços de apoio à tecnologia da informação,2025-04-08
e-Core,"4,5",Serviços de apoio à tecnologia da informação,2025-04-08
CTIS,"4,0",Serviços de apoio à tecnologia da informação,2025-04-08
FCamara,"4,1",Serviços de apoio à tecnologia da informação,2025-04-08
Sensedia,"4,2",Serviços de apoio à tecnologia da informação,2025-04-08
EPAM Systems,"4,0",Serviços de apoio à tecnologia da informação,2025-04-08
Locaweb,"4,0",Serviços de apoio à tecnologia da informação,2025-04-08
F1RST Digital Services,"4,0",Serviços de apoio à tecnologia da informação,2025-04-08
Keyrus,"4,1",Serviços de apoio à tecnologia da informação,2025-04-08
Squadra Digital,"4,3",Serviços de apoio à tecnologia da informação,2025-04-08
CentralIT,"4,0",Serviços de apoio à tecnologia da informação,2025-04-08
Atlântico,"4,4",Serviços de apoio à tecnologia da informação,2025-04-08
Serpro,"4,6",Serviços de apoio à tecnologia da informação,2025-04-08
KPIT Technologies,"4,0",Serviços de apoio à tecnologia da informação,2025-04-08
DBC,"4,4",Serviços de apoio à tecnologia da informação,2025-04-08
DB,"4,4",Serviços de apoio à tecnologia da informação,2025-04-08
Foursys Brasil,"4,1",Serviços de apoio à tecnologia da informação,2025-04-08
