nome,nota,setor,data_ingestao
Acciona,"4,0",Serviços de construção e recursos humanos,2025-04-08
Time-Now Engenharia,"4,1",Serviços de construção e recursos humanos,2025-04-08
Procergs,"4,5",Serviços de construção e recursos humanos,2025-04-08
Promon Group,"4,0",Serviços de construção e recursos humanos,2025-04-08
Incepa,"4,0",Serviços de construção e recursos humanos,2025-04-08
EcoUrbis Ambiental,"4,7",Serviços de construção e recursos humanos,2025-04-08
Kaiser Group,"4,3",Serviços de construção e recursos humanos,2025-04-08
Saela,"4,0",Serviços de construção e recursos humanos,2025-04-08
InService (Brazil),"4,2",Serviços de construção e recursos humanos,2025-04-08
Harpio,"4,2",Serviços de construção e recursos humanos,2025-04-08
RB Soluções em vales-transporte,"4,1",Serviços de construção e recursos humanos,2025-04-08
1+1 Cares,"4,3",Serviços de construção e recursos humanos,2025-04-08
Limpa SP,"4,5",Serviços de construção e recursos humanos,2025-04-08
HFlex,"4,1",Serviços de construção e recursos humanos,2025-04-08
SESI Consulting Engineers,"4,6",Serviços de construção e recursos humanos,2025-04-08
LACOSTA Facility Support Services,"4,0",Serviços de construção e recursos humanos,2025-04-08
Sistema Quatro,"4,3",Serviços de construção e recursos humanos,2025-04-08
Village Facilities Services,"4,1",Serviços de construção e recursos humanos,2025-04-08
Waste Recycling and Processing,"4,1",Serviços de construção e recursos humanos,2025-04-08
ERI,"4,2",Serviços de construção e recursos humanos,2025-04-08
TFMC,"4,2",Serviços de construção e recursos humanos,2025-04-08
Master Serviços (Brazil),"4,0",Serviços de construção e recursos humanos,2025-04-08
Grupo Rodoxisto,"4,1",Serviços de construção e recursos humanos,2025-04-08
Grupo Atual - Tecnologia em Limpeza,"4,3",Serviços de construção e recursos humanos,2025-04-08
CETCO,"4,3",Serviços de construção e recursos humanos,2025-04-08
FRJ Menegussi Serviços Prediais,"4,1",Serviços de construção e recursos humanos,2025-04-08
Vipul,"4,1",Serviços de construção e recursos humanos,2025-04-08
AJ Services,"4,5",Serviços de construção e recursos humanos,2025-04-08
JP Serviços e Construções,"4,0",Serviços de construção e recursos humanos,2025-04-08
Envelop Group,"4,6",Serviços de construção e recursos humanos,2025-04-08
Pells Sullivan Meynink,"4,5",Serviços de construção e recursos humanos,2025-04-08
Hineni Terceirização,"4,0",Serviços de construção e recursos humanos,2025-04-08
Única Serviços,"5,0",Serviços de construção e recursos humanos,2025-04-08
Intuo,"4,4",Serviços de construção e recursos humanos,2025-04-08
Maid Green,"5,0",Serviços de construção e recursos humanos,2025-04-08
Protection Aguia Servicos Empresariais,"4,7",Serviços de construção e recursos humanos,2025-04-08
M Locações,"4,4",Serviços de construção e recursos humanos,2025-04-08
VITÓRIA AMBIENTAL,"4,2",Serviços de construção e recursos humanos,2025-04-08
Chartered Institute of Internal Auditors,"4,1",Serviços de construção e recursos humanos,2025-04-08
AMEP,"4,1",Serviços de construção e recursos humanos,2025-04-08
All Service,"4,6",Serviços de construção e recursos humanos,2025-04-08
Talking Heads,"4,5",Serviços de construção e recursos humanos,2025-04-08
Comunicar Call Center,"4,0",Serviços de construção e recursos humanos,2025-04-08
Grupo Voyzer,"4,5",Serviços de construção e recursos humanos,2025-04-08
Commander service,"4,0",Serviços de construção e recursos humanos,2025-04-08
Privina Prestacao De Servicos,"4,4",Serviços de construção e recursos humanos,2025-04-08
Trabt,"4,0",Serviços de construção e recursos humanos,2025-04-08
Vigbens Portaria,"5,0",Serviços de construção e recursos humanos,2025-04-08
New Age Travel,"4,0",Serviços de construção e recursos humanos,2025-04-08
Geoterra Serviços e Mineração,"4,0",Serviços de construção e recursos humanos,2025-04-08
