nome,nota,setor,data_ingestao
CIEE (Brazil),"4,2",Serviços de ensino e formação,2025-04-08
Cogna,"4,1",Serviços de ensino e formação,2025-04-08
YDUQS,"4,1",Serviços de ensino e formação,2025-04-08
Grupo Marista,"4,2",Serviços de ensino e formação,2025-04-08
CAPES,"4,0",Serviços de ensino e formação,2025-04-08
SESI-SP,"4,1",Serviços de ensino e formação,2025-04-08
Laureate Education,"4,0",Serviços de ensino e formação,2025-04-08
Gran,"4,4",Serviços de ensino e formação,2025-04-08
Colégio Visconde de Porto Seguro,"4,1",Serviços de ensino e formação,2025-04-08
Trybe (Brazil),"4,0",Serviços de ensino e formação,2025-04-08
Poliedro Educação,"4,0",Serviços de ensino e formação,2025-04-08
SENAI-SP,"4,0",Serviços de ensino e formação,2025-04-08
Rockfeller Language Center,"4,1",Serviços de ensino e formação,2025-04-08
Medway Residência Médica,"4,3",Serviços de ensino e formação,2025-04-08
Fundação Vanzolini,"4,1",Serviços de ensino e formação,2025-04-08
Crescimentum,"4,2",Serviços de ensino e formação,2025-04-08
Tera,"4,1",Serviços de ensino e formação,2025-04-08
Cultural Care Au Pair,"4,1",Serviços de ensino e formação,2025-04-08
Dale Carnegie,"4,4",Serviços de ensino e formação,2025-04-08
Alumia,"4,6",Serviços de ensino e formação,2025-04-08
IDP Education,"4,0",Serviços de ensino e formação,2025-04-08
SEEK,"4,0",Serviços de ensino e formação,2025-04-08
Grupo Acelerador,"4,5",Serviços de ensino e formação,2025-04-08
Topway,"4,3",Serviços de ensino e formação,2025-04-08
Driven (Brazil),"4,5",Serviços de ensino e formação,2025-04-08
Board Academy (Brazil),"4,8",Serviços de ensino e formação,2025-04-08
Cubos Academy,"4,2",Serviços de ensino e formação,2025-04-08
Learnlight,"4,0",Serviços de ensino e formação,2025-04-08
Fatec,"4,0",Serviços de ensino e formação,2025-04-08
Le Wagon,"4,1",Serviços de ensino e formação,2025-04-08
Aldeia,"4,3",Serviços de ensino e formação,2025-04-08
Mentes Notáveis,"4,3",Serviços de ensino e formação,2025-04-08
JET Program,"4,2",Serviços de ensino e formação,2025-04-08
Elite Educational Institute,"4,0",Serviços de ensino e formação,2025-04-08
Apollo Education Group,"4,0",Serviços de ensino e formação,2025-04-08
Vox2You,"4,5",Serviços de ensino e formação,2025-04-08
Rocketseat,"4,2",Serviços de ensino e formação,2025-04-08
Eu Médico Residente,"4,2",Serviços de ensino e formação,2025-04-08
Responde Aí,"4,2",Serviços de ensino e formação,2025-04-08
PM3,"4,5",Serviços de ensino e formação,2025-04-08
Scaffold,"4,0",Serviços de ensino e formação,2025-04-08
Complétude,"4,1",Serviços de ensino e formação,2025-04-08
Colégio Everest Internacional,"4,1",Serviços de ensino e formação,2025-04-08
O Novo Mercado,"4,2",Serviços de ensino e formação,2025-04-08
Superprof,"4,1",Serviços de ensino e formação,2025-04-08
Galena,"4,2",Serviços de ensino e formação,2025-04-08
Code Ninjas,"4,1",Serviços de ensino e formação,2025-04-08
Mathnasium,"4,2",Serviços de ensino e formação,2025-04-08
Jaro Education,"4,3",Serviços de ensino e formação,2025-04-08
Move Edu,"4,3",Serviços de ensino e formação,2025-04-08
POLOZI VIDA PLENA,"4,3",Serviços de ensino e formação,2025-04-08
Awari,"4,6",Serviços de ensino e formação,2025-04-08
mLearn,"4,5",Serviços de ensino e formação,2025-04-08
Caelum Escola de Tecnologia,"4,4",Serviços de ensino e formação,2025-04-08
Associação Brasileira de Startups,"4,3",Serviços de ensino e formação,2025-04-08
Profissionais,"4,0",Serviços de ensino e formação,2025-04-08
Refuturiza,"4,0",Serviços de ensino e formação,2025-04-08
Vaivoa,"5,0",Serviços de ensino e formação,2025-04-08
Instituto Federal Farroupilha,"4,2",Serviços de ensino e formação,2025-04-08
DBC,"4,4",Serviços de ensino e formação,2025-04-08
Missionary Training Center,"4,4",Serviços de ensino e formação,2025-04-08
AuPairCare,"4,3",Serviços de ensino e formação,2025-04-08
ZaranTech,"4,0",Serviços de ensino e formação,2025-04-08
DAAD,"4,5",Serviços de ensino e formação,2025-04-08
Cultura Inglesa MG,"4,2",Serviços de ensino e formação,2025-04-08
Mentorama,"4,4",Serviços de ensino e formação,2025-04-08
Becker Professional Education,"4,0",Serviços de ensino e formação,2025-04-08
HEC,"4,2",Serviços de ensino e formação,2025-04-08
Twenix,"4,0",Serviços de ensino e formação,2025-04-08
Native Camp,"4,2",Serviços de ensino e formação,2025-04-08
Great Learning,"4,0",Serviços de ensino e formação,2025-04-08
Cruzeiro do Sul Virtual,"4,3",Serviços de ensino e formação,2025-04-08
Ecommerce na Prática,"4,4",Serviços de ensino e formação,2025-04-08
Lean Solutions (Brazil),"4,3",Serviços de ensino e formação,2025-04-08
Maple Bear Botafogo,"4,0",Serviços de ensino e formação,2025-04-08
Resgate Treinamentos,"4,1",Serviços de ensino e formação,2025-04-08
Information Technology Institute,"4,2",Serviços de ensino e formação,2025-04-08
EAC Personnalite,"4,0",Serviços de ensino e formação,2025-04-08
Talent Academy,"4,4",Serviços de ensino e formação,2025-04-08
Ada Tech,"4,5",Serviços de ensino e formação,2025-04-08
Language Trainers,"4,5",Serviços de ensino e formação,2025-04-08
Learning Tribes,"4,2",Serviços de ensino e formação,2025-04-08
CRBTech,"4,0",Serviços de ensino e formação,2025-04-08
The B2W Group,"4,1",Serviços de ensino e formação,2025-04-08
MultiRio,"4,0",Serviços de ensino e formação,2025-04-08
Kidsa,"4,6",Serviços de ensino e formação,2025-04-08
K21,"4,3",Serviços de ensino e formação,2025-04-08
Fundace,"4,6",Serviços de ensino e formação,2025-04-08
Colégio Benjamin Constant,"4,3",Serviços de ensino e formação,2025-04-08
Escola da Nuvem (São Paulo),"4,4",Serviços de ensino e formação,2025-04-08
Be Academy,"4,1",Serviços de ensino e formação,2025-04-08
ALX,"4,3",Serviços de ensino e formação,2025-04-08
ABG,"4,0",Serviços de ensino e formação,2025-04-08
Park Idiomas,"4,0",Serviços de ensino e formação,2025-04-08
Girls Who Code,"4,6",Serviços de ensino e formação,2025-04-08
iPhone Photography School,"4,2",Serviços de ensino e formação,2025-04-08
Grupo Impulse,"4,1",Serviços de ensino e formação,2025-04-08
ALLEN CAREER INSTITUTE,"4,1",Serviços de ensino e formação,2025-04-08
Eu me Banco Educação,"4,1",Serviços de ensino e formação,2025-04-08
Crucial Learning,"4,3",Serviços de ensino e formação,2025-04-08
Speexx,"4,7",Serviços de ensino e formação,2025-04-08
Online Trading Academy,"4,1",Serviços de ensino e formação,2025-04-08
Accent Advisor,"4,4",Serviços de ensino e formação,2025-04-08
AJ Tutoring,"4,1",Serviços de ensino e formação,2025-04-08
Linux Academy,"4,1",Serviços de ensino e formação,2025-04-08
SENA,"4,4",Serviços de ensino e formação,2025-04-08
YOU Bilingual Education,"4,1",Serviços de ensino e formação,2025-04-08
Eagle's Flight,"4,0",Serviços de ensino e formação,2025-04-08
explicaê,"4,3",Serviços de ensino e formação,2025-04-08
SV Academy,"4,3",Serviços de ensino e formação,2025-04-08
Meritt,"4,4",Serviços de ensino e formação,2025-04-08
Active Metodologias Ativas de Ensino,"4,4",Serviços de ensino e formação,2025-04-08
A Pass Educational Group,"4,1",Serviços de ensino e formação,2025-04-08
Colégio La Salle Canoas,"4,4",Serviços de ensino e formação,2025-04-08
Clipping Concursos,"4,1",Serviços de ensino e formação,2025-04-08
Associação Educativa Evangélica,"4,0",Serviços de ensino e formação,2025-04-08
itvedant,"4,3",Serviços de ensino e formação,2025-04-08
DigitalMarketer,"4,4",Serviços de ensino e formação,2025-04-08
SelfPublishing.com,"4,6",Serviços de ensino e formação,2025-04-08
Colégio de Aplicação da UFRJ,"4,2",Serviços de ensino e formação,2025-04-08
Bookplay,"4,3",Serviços de ensino e formação,2025-04-08
Curso Ênfase,"4,0",Serviços de ensino e formação,2025-04-08
Concurseiro Zero1,"4,9",Serviços de ensino e formação,2025-04-08
Curso Positivo,"4,0",Serviços de ensino e formação,2025-04-08
Microverse,"4,6",Serviços de ensino e formação,2025-04-08
UniFacema,"4,0",Serviços de ensino e formação,2025-04-08
Founder Institute,"4,2",Serviços de ensino e formação,2025-04-08
Red Education,"4,8",Serviços de ensino e formação,2025-04-08
Fiocruz Minas,"5,0",Serviços de ensino e formação,2025-04-08
BSSP Centro Educacional,"4,4",Serviços de ensino e formação,2025-04-08
Fundação Valeparaibana de Ensino,"4,2",Serviços de ensino e formação,2025-04-08
Designlab,"4,2",Serviços de ensino e formação,2025-04-08
Base Viral,"4,1",Serviços de ensino e formação,2025-04-08
Kraftshala,"4,0",Serviços de ensino e formação,2025-04-08
Makers,"4,2",Serviços de ensino e formação,2025-04-08
Idioma independente,"4,1",Serviços de ensino e formação,2025-04-08
Academy Class,"4,1",Serviços de ensino e formação,2025-04-08
Stafford House International,"4,0",Serviços de ensino e formação,2025-04-08
Faculdade de Tecnologia SENAI Mato Grosso,"4,2",Serviços de ensino e formação,2025-04-08
European Bartender School,"4,4",Serviços de ensino e formação,2025-04-08
EVO Human Safety Solutions,"4,1",Serviços de ensino e formação,2025-04-08
Supernova,"4,9",Serviços de ensino e formação,2025-04-08
English Academy,"4,0",Serviços de ensino e formação,2025-04-08
Escola Jovem Profissional,"4,0",Serviços de ensino e formação,2025-04-08
IDG,"4,1",Serviços de ensino e formação,2025-04-08
IC Treinamentos,"4,1",Serviços de ensino e formação,2025-04-08
Maximo Nivel,"4,2",Serviços de ensino e formação,2025-04-08
British School Group,"4,2",Serviços de ensino e formação,2025-04-08
Centro Pedagógico UFMG,"4,5",Serviços de ensino e formação,2025-04-08
CS Academy Club,"4,0",Serviços de ensino e formação,2025-04-08
VENDE-C,"4,9",Serviços de ensino e formação,2025-04-08
Practicum Bootcamp,"4,1",Serviços de ensino e formação,2025-04-08
Colégio Tableau Taubaté,"4,3",Serviços de ensino e formação,2025-04-08
Career Karma,"4,0",Serviços de ensino e formação,2025-04-08
Studos,"4,5",Serviços de ensino e formação,2025-04-08
Inspand,"4,2",Serviços de ensino e formação,2025-04-08
Fala Company,"4,6",Serviços de ensino e formação,2025-04-08
Pensar Educação,"4,5",Serviços de ensino e formação,2025-04-08
Studypool,"4,1",Serviços de ensino e formação,2025-04-08
CENIC,"4,1",Serviços de ensino e formação,2025-04-08
Escola Korú,"4,5",Serviços de ensino e formação,2025-04-08
WorldTeach,"4,4",Serviços de ensino e formação,2025-04-08
High Bridge Management Academy,"4,9",Serviços de ensino e formação,2025-04-08
Quero Bolsa,"4,4",Serviços de ensino e formação,2025-04-08
C4Media,"4,9",Serviços de ensino e formação,2025-04-08
Centro Universitário Tocantinense Presidente Antônio Carlos,"4,9",Serviços de ensino e formação,2025-04-08
Plataforma A (Brazil),"4,2",Serviços de ensino e formação,2025-04-08
ESAMC Uberlândia,"4,1",Serviços de ensino e formação,2025-04-08
Saber em Rede,"4,7",Serviços de ensino e formação,2025-04-08
Lingo Live,"4,0",Serviços de ensino e formação,2025-04-08
GetSetUp,"4,1",Serviços de ensino e formação,2025-04-08
LAL Language Centres,"4,0",Serviços de ensino e formação,2025-04-08
e-GMAT,"4,1",Serviços de ensino e formação,2025-04-08
Investidor Sardinha,"4,4",Serviços de ensino e formação,2025-04-08
Unifast,"4,2",Serviços de ensino e formação,2025-04-08
Easy English,"4,1",Serviços de ensino e formação,2025-04-08
Jumper!,"4,2",Serviços de ensino e formação,2025-04-08
Colégio Marista Graças,"4,8",Serviços de ensino e formação,2025-04-08
Back 2 Work Complete Training,"4,1",Serviços de ensino e formação,2025-04-08
Escola Barão do Rio Branco,"4,0",Serviços de ensino e formação,2025-04-08
ifo Institut,"4,4",Serviços de ensino e formação,2025-04-08
Grupo Colinho de Mae,"4,1",Serviços de ensino e formação,2025-04-08
Universo Narrado,"4,7",Serviços de ensino e formação,2025-04-08
4Geeks Academy,"4,4",Serviços de ensino e formação,2025-04-08
Voyager,"4,3",Serviços de ensino e formação,2025-04-08
CET Academic,"4,1",Serviços de ensino e formação,2025-04-08
Rocket Club,"4,4",Serviços de ensino e formação,2025-04-08
Cultura Inglesa (Curitiba),"4,3",Serviços de ensino e formação,2025-04-08
Idomed (Brazil),"5,0",Serviços de ensino e formação,2025-04-08
Engineering For Kids,"4,2",Serviços de ensino e formação,2025-04-08
Motrix Techknowledge,"4,7",Serviços de ensino e formação,2025-04-08
Spiible,"4,4",Serviços de ensino e formação,2025-04-08
IDES (Brazil),"4,4",Serviços de ensino e formação,2025-04-08
NEO Empresarial,"5,0",Serviços de ensino e formação,2025-04-08
Sd Associates,"4,1",Serviços de ensino e formação,2025-04-08
Escola Canto dos Pássaros,"5,0",Serviços de ensino e formação,2025-04-08
UniBH,"4,3",Serviços de ensino e formação,2025-04-08
Colégio Salgueiro,"4,6",Serviços de ensino e formação,2025-04-08
Athon Ensino Superior,"4,0",Serviços de ensino e formação,2025-04-08
Netpoint (Brazil),"4,3",Serviços de ensino e formação,2025-04-08
Information Planet Brasil,"4,2",Serviços de ensino e formação,2025-04-08
Comunidade Educativa CEDAC,"4,6",Serviços de ensino e formação,2025-04-08
Escola Autonomia,"4,0",Serviços de ensino e formação,2025-04-08
Colégio Bertoni,"4,3",Serviços de ensino e formação,2025-04-08
OT Marketplace,"4,1",Serviços de ensino e formação,2025-04-08
Jhana,"4,7",Serviços de ensino e formação,2025-04-08
Work Services,"4,0",Serviços de ensino e formação,2025-04-08
Colorado Outward Bound School,"4,0",Serviços de ensino e formação,2025-04-08
Escola Mundo Encantado,"4,7",Serviços de ensino e formação,2025-04-08
Essential Idiomas,"4,9",Serviços de ensino e formação,2025-04-08
São Paulo Tech School,"4,5",Serviços de ensino e formação,2025-04-08
Escola de Comando e Estado-Maior do Exercito,"4,6",Serviços de ensino e formação,2025-04-08
Caminhos Language Centre,"4,5",Serviços de ensino e formação,2025-04-08
Cursinho FEAUSP,"4,9",Serviços de ensino e formação,2025-04-08
Estratégia Consursos,"4,4",Serviços de ensino e formação,2025-04-08
Instituto Médico de Diagnósticos por Imagem,"4,5",Serviços de ensino e formação,2025-04-08
Escola Portal (Brazil),"4,3",Serviços de ensino e formação,2025-04-08
CIES,"4,3",Serviços de ensino e formação,2025-04-08
TNT Fitness,"4,7",Serviços de ensino e formação,2025-04-08
West Baton Rouge parish School,"4,5",Serviços de ensino e formação,2025-04-08
Centric Learning Systems,"5,0",Serviços de ensino e formação,2025-04-08
RHB Informática,"4,5",Serviços de ensino e formação,2025-04-08
NEO Pós-graduação EAD,"4,7",Serviços de ensino e formação,2025-04-08
Colégio ASLAN,"4,0",Serviços de ensino e formação,2025-04-08
Escola do Futuro de Goiás em Artes Basileu França,"4,4",Serviços de ensino e formação,2025-04-08
DECA,"4,2",Serviços de ensino e formação,2025-04-08
Grupo Educacional Ideal,"4,8",Serviços de ensino e formação,2025-04-08
Blinklearning,"4,1",Serviços de ensino e formação,2025-04-08
Lápis De Cor,"4,0",Serviços de ensino e formação,2025-04-08
Discovery - Escola de Inglês,"4,1",Serviços de ensino e formação,2025-04-08
IDP Online,"4,8",Serviços de ensino e formação,2025-04-08
Multiverso Educação,"4,1",Serviços de ensino e formação,2025-04-08
Faculdade Anhanguera de Piracicaba,"4,1",Serviços de ensino e formação,2025-04-08
CCI & CCI Senior,"4,4",Serviços de ensino e formação,2025-04-08
SLV,"4,1",Serviços de ensino e formação,2025-04-08
Servitium,"4,4",Serviços de ensino e formação,2025-04-08
Colégio Madre Iva,"5,0",Serviços de ensino e formação,2025-04-08
Faculdade Integra,"4,0",Serviços de ensino e formação,2025-04-08
Playball,"4,3",Serviços de ensino e formação,2025-04-08
BitDegree,"4,5",Serviços de ensino e formação,2025-04-08
Education Service Center Region 12,"4,4",Serviços de ensino e formação,2025-04-08
ETEC,"4,5",Serviços de ensino e formação,2025-04-08
CESO,"4,0",Serviços de ensino e formação,2025-04-08
Grupo Atenas (Brazil),"5,0",Serviços de ensino e formação,2025-04-08
Colégio Londrinense,"4,1",Serviços de ensino e formação,2025-04-08
Senac Pernambuco,"4,0",Serviços de ensino e formação,2025-04-08
Colégio Educar Guarulhos,"4,1",Serviços de ensino e formação,2025-04-08
Projeto SUPER,"4,5",Serviços de ensino e formação,2025-04-08
Escola Multi Integral,"4,0",Serviços de ensino e formação,2025-04-08
Rede Lius Agostinianos,"5,0",Serviços de ensino e formação,2025-04-08
Colégio Degraus,"4,4",Serviços de ensino e formação,2025-04-08
Humus,"4,2",Serviços de ensino e formação,2025-04-08
ABRAPI,"4,3",Serviços de ensino e formação,2025-04-08
LUMA Escola Individualizada,"4,8",Serviços de ensino e formação,2025-04-08
Colégio Cor Jesu,"4,5",Serviços de ensino e formação,2025-04-08
Professor Lucas Silva,"4,5",Serviços de ensino e formação,2025-04-08
IPMIL - Instituto Padrão Militar,"4,2",Serviços de ensino e formação,2025-04-08
Brasília International School,"4,0",Serviços de ensino e formação,2025-04-08
Interactivo Colégio e Cursos,"4,2",Serviços de ensino e formação,2025-04-08
Peerplays,"4,2",Serviços de ensino e formação,2025-04-08
Escola Técnica de Brasília,"4,3",Serviços de ensino e formação,2025-04-08
Sou Junior,"4,8",Serviços de ensino e formação,2025-04-08
Bequest Digital,"4,5",Serviços de ensino e formação,2025-04-08
Fiatlux,"4,5",Serviços de ensino e formação,2025-04-08
TOP,"4,2",Serviços de ensino e formação,2025-04-08
UNIMATES,"4,1",Serviços de ensino e formação,2025-04-08
iW English School,"4,4",Serviços de ensino e formação,2025-04-08
Fullture,"5,0",Serviços de ensino e formação,2025-04-08
NurseHub,"5,0",Serviços de ensino e formação,2025-04-08
Colégio Augusto Ruschi,"4,2",Serviços de ensino e formação,2025-04-08
CENAP,"4,3",Serviços de ensino e formação,2025-04-08
4ED,"4,5",Serviços de ensino e formação,2025-04-08
Colégio Madre Carmen Sallés,"5,0",Serviços de ensino e formação,2025-04-08
Harve,"5,0",Serviços de ensino e formação,2025-04-08
Pacer Academia,"4,4",Serviços de ensino e formação,2025-04-08
Colégio São Marcos,"4,7",Serviços de ensino e formação,2025-04-08
"Centro Cultural Brasil Estados Unidos (Belem, Brazil)","4,2",Serviços de ensino e formação,2025-04-08
Centro Educacional Estação do Aprender,"4,6",Serviços de ensino e formação,2025-04-08
Colegio São Benedito,"4,2",Serviços de ensino e formação,2025-04-08
"o Primo Rico Midia, Educacional e Participacoes","4,5",Serviços de ensino e formação,2025-04-08
CPOR/RJ,"5,0",Serviços de ensino e formação,2025-04-08
Senai Mario Amato,"4,5",Serviços de ensino e formação,2025-04-08
Fun Idiomas,"4,6",Serviços de ensino e formação,2025-04-08
Centro Educacional Chambarelli,"4,5",Serviços de ensino e formação,2025-04-08
AeroTD - Faculdade de Tecnologia,"4,1",Serviços de ensino e formação,2025-04-08
Vortex Educação,"4,0",Serviços de ensino e formação,2025-04-08
