nome,nota,setor,data_ingestao
IBM,"4,0",Tecnologia da informação,2025-04-08
Google,"4,3",Tecnologia da informação,2025-04-08
Microsoft,"4,2",Tecnologia da informação,2025-04-08
SAP,"4,2",Tecnologia da informação,2025-04-08
Robert Bosch,"4,2",Tecnologia da informação,2025-04-08
Mercado Livre,"4,2",Tecnologia da informação,2025-04-08
TOTVS,"4,3",Tecnologia da informação,2025-04-08
Thomson Reuters,"4,1",Tecnologia da informação,2025-04-08
iFood,"4,2",Tecnologia da informação,2025-04-08
Apple,"4,1",Tecnologia da informação,2025-04-08
Salesforce,"4,1",Tecnologia da informação,2025-04-08
HP Inc.,"4,1",Tecnologia da informação,2025-04-08
Cisco,"4,1",Tecnologia da informação,2025-04-08
Hewlett Packard Enterprise | HPE,"4,1",Tecnologia da informação,2025-04-08
BRQ,"4,1",Tecnologia da informação,2025-04-08
BairesDev,"4,1",Tecnologia da informação,2025-04-08
Honeywell,"4,1",Tecnologia da informação,2025-04-08
Zup Innovation,"4,3",Tecnologia da informação,2025-04-08
GFT Technologies,"4,2",Tecnologia da informação,2025-04-08
Softplan,"4,2",Tecnologia da informação,2025-04-08
UOL,"4,2",Tecnologia da informação,2025-04-08
Bloomberg,"4,0",Tecnologia da informação,2025-04-08
Ambev Tech,"4,1",Tecnologia da informação,2025-04-08
LinkedIn,"4,0",Tecnologia da informação,2025-04-08
ClearSale,"4,2",Tecnologia da informação,2025-04-08
BMW Group,"4,1",Tecnologia da informação,2025-04-08
Meta IT,"4,1",Tecnologia da informação,2025-04-08
Hotmart,"4,1",Tecnologia da informação,2025-04-08
OLX Brasil,"4,2",Tecnologia da informação,2025-04-08
Cast Group,"4,2",Tecnologia da informação,2025-04-08
Motorola Solutions,"4,3",Tecnologia da informação,2025-04-08
Senior Sistemas,"4,3",Tecnologia da informação,2025-04-08
Encora,"4,4",Tecnologia da informação,2025-04-08
Wellhub,"4,2",Tecnologia da informação,2025-04-08
Booking.com,"4,0",Tecnologia da informação,2025-04-08
Instituto de Pesquisas ELDORADO,"4,4",Tecnologia da informação,2025-04-08
CWI Software,"4,4",Tecnologia da informação,2025-04-08
RD Station,"4,2",Tecnologia da informação,2025-04-08
Red Hat,"4,2",Tecnologia da informação,2025-04-08
Radix Engenharia e Software,"4,4",Tecnologia da informação,2025-04-08
99,"4,0",Tecnologia da informação,2025-04-08
Intuit,"4,3",Tecnologia da informação,2025-04-08
Simpress,"4,2",Tecnologia da informação,2025-04-08
Centro de Estudos e Sistemas Avançados do Recife - C.E.S.A.R,"4,1",Tecnologia da informação,2025-04-08
VTEX,"4,0",Tecnologia da informação,2025-04-08
SAS,"4,0",Tecnologia da informação,2025-04-08
Spread,"4,2",Tecnologia da informação,2025-04-08
Netflix,"4,2",Tecnologia da informação,2025-04-08
MJV Tecnologia e Inovação,"4,0",Tecnologia da informação,2025-04-08
NAVA Technology for Business,"4,1",Tecnologia da informação,2025-04-08
dti digital,"4,1",Tecnologia da informação,2025-04-08
Invillia,"4,2",Tecnologia da informação,2025-04-08
Iteris Consultoria e Software,"4,1",Tecnologia da informação,2025-04-08
Luizalabs,"4,3",Tecnologia da informação,2025-04-08
e-Core,"4,5",Tecnologia da informação,2025-04-08
Adobe,"4,2",Tecnologia da informação,2025-04-08
Cadence Design Systems,"4,2",Tecnologia da informação,2025-04-08
Olist,"4,0",Tecnologia da informação,2025-04-08
CTIS,"4,0",Tecnologia da informação,2025-04-08
FCamara,"4,1",Tecnologia da informação,2025-04-08
Sensedia,"4,2",Tecnologia da informação,2025-04-08
Gupy,"4,1",Tecnologia da informação,2025-04-08
EPAM Systems,"4,0",Tecnologia da informação,2025-04-08
VMware,"4,4",Tecnologia da informação,2025-04-08
Almaviva Solutions,"4,6",Tecnologia da informação,2025-04-08
Locaweb,"4,0",Tecnologia da informação,2025-04-08
Sólides,"4,2",Tecnologia da informação,2025-04-08
Dassault Systèmes,"4,0",Tecnologia da informação,2025-04-08
Valid,"4,2",Tecnologia da informação,2025-04-08
F1RST Digital Services,"4,0",Tecnologia da informação,2025-04-08
Keyrus,"4,1",Tecnologia da informação,2025-04-08
Orange Business,"4,0",Tecnologia da informação,2025-04-08
DB1 Group,"4,1",Tecnologia da informação,2025-04-08
Yahoo,"4,0",Tecnologia da informação,2025-04-08
YouTube,"4,4",Tecnologia da informação,2025-04-08
ASAAS,"4,5",Tecnologia da informação,2025-04-08
ServiceNow,"4,3",Tecnologia da informação,2025-04-08
CPQD,"4,0",Tecnologia da informação,2025-04-08
Nuvemshop,"4,2",Tecnologia da informação,2025-04-08
Autodesk,"4,2",Tecnologia da informação,2025-04-08
Neoway,"4,3",Tecnologia da informação,2025-04-08
Squadra Digital,"4,3",Tecnologia da informação,2025-04-08
Net Serviços de Comunicação,"4,2",Tecnologia da informação,2025-04-08
Quero Educação,"4,0",Tecnologia da informação,2025-04-08
CentralIT,"4,0",Tecnologia da informação,2025-04-08
Criteo,"4,1",Tecnologia da informação,2025-04-08
Embratel,"4,1",Tecnologia da informação,2025-04-08
Genesys,"4,1",Tecnologia da informação,2025-04-08
Atlântico,"4,4",Tecnologia da informação,2025-04-08
Infor,"4,0",Tecnologia da informação,2025-04-08
Serpro,"4,6",Tecnologia da informação,2025-04-08
Siemens Digital Industries Software,"4,2",Tecnologia da informação,2025-04-08
SiDi,"4,3",Tecnologia da informação,2025-04-08
Dextra,"4,5",Tecnologia da informação,2025-04-08
RecargaPay,"4,2",Tecnologia da informação,2025-04-08
KPIT Technologies,"4,0",Tecnologia da informação,2025-04-08
Glassdoor,"4,2",Tecnologia da informação,2025-04-08
DBC,"4,4",Tecnologia da informação,2025-04-08
AMcom Sistemas de Informação,"4,0",Tecnologia da informação,2025-04-08
Catho Online,"4,2",Tecnologia da informação,2025-04-08
DB,"4,4",Tecnologia da informação,2025-04-08
Foursys Brasil,"4,1",Tecnologia da informação,2025-04-08
Sistema Fiemg,"4,2",Tecnologia da informação,2025-04-08
SOUTHSYSTEM,"4,8",Tecnologia da informação,2025-04-08
Indeed,"4,0",Tecnologia da informação,2025-04-08
Aliare,"4,2",Tecnologia da informação,2025-04-08
ioasys,"4,1",Tecnologia da informação,2025-04-08
Amadeus,"4,1",Tecnologia da informação,2025-04-08
Deel,"4,6",Tecnologia da informação,2025-04-08
E.life Group,"4,2",Tecnologia da informação,2025-04-08
Basis Information Technology,"4,0",Tecnologia da informação,2025-04-08
Spassu tecnologia,"4,0",Tecnologia da informação,2025-04-08
G&P Projetos e Sistemas,"4,4",Tecnologia da informação,2025-04-08
Méliuz,"4,5",Tecnologia da informação,2025-04-08
Eduzz,"4,5",Tecnologia da informação,2025-04-08
Airbnb,"4,3",Tecnologia da informação,2025-04-08
ília (Brazil),"4,3",Tecnologia da informação,2025-04-08
DocPlanner,"4,5",Tecnologia da informação,2025-04-08
Juntos Somos Mais,"4,3",Tecnologia da informação,2025-04-08
ESPN,"4,0",Tecnologia da informação,2025-04-08
Royal High School Preservation Trust,"4,2",Tecnologia da informação,2025-04-08
Scala Data Centers,"4,2",Tecnologia da informação,2025-04-08
Webmotors,"4,2",Tecnologia da informação,2025-04-08
Google Cloud,"4,2",Tecnologia da informação,2025-04-08
SysMap Solutions,"4,2",Tecnologia da informação,2025-04-08
NEORIS,"4,0",Tecnologia da informação,2025-04-08
BMC Software,"4,0",Tecnologia da informação,2025-04-08
ISH Tecnologia,"4,2",Tecnologia da informação,2025-04-08
Light,"4,0",Tecnologia da informação,2025-04-08
ilegra,"4,4",Tecnologia da informação,2025-04-08
FICO,"4,1",Tecnologia da informação,2025-04-08
Gemalto,"4,2",Tecnologia da informação,2025-04-08
Concrete Solutions,"4,3",Tecnologia da informação,2025-04-08
GLOBO,"4,1",Tecnologia da informação,2025-04-08
Nuance,"4,0",Tecnologia da informação,2025-04-08
AMD,"4,0",Tecnologia da informação,2025-04-08
Delivery Center,"4,4",Tecnologia da informação,2025-04-08
Viva Rio,"4,3",Tecnologia da informação,2025-04-08
Garena,"4,1",Tecnologia da informação,2025-04-08
SIS Innov & Tech,"4,3",Tecnologia da informação,2025-04-08
MongoDB,"4,1",Tecnologia da informação,2025-04-08
SoftExpert,"4,5",Tecnologia da informação,2025-04-08
DONE by NONE,"4,1",Tecnologia da informação,2025-04-08
Mundiale,"4,1",Tecnologia da informação,2025-04-08
PTC,"4,0",Tecnologia da informação,2025-04-08
Involves,"4,1",Tecnologia da informação,2025-04-08
Prime Control (Brazil),"4,2",Tecnologia da informação,2025-04-08
NVIDIA,"4,5",Tecnologia da informação,2025-04-08
Zallpy Digital,"4,4",Tecnologia da informação,2025-04-08
Foton Informatica,"4,4",Tecnologia da informação,2025-04-08
Raro Labs,"4,5",Tecnologia da informação,2025-04-08
M4U,"4,3",Tecnologia da informação,2025-04-08
Verity,"4,6",Tecnologia da informação,2025-04-08
Pinterest,"4,0",Tecnologia da informação,2025-04-08
TomTom,"4,0",Tecnologia da informação,2025-04-08
Zoho,"4,3",Tecnologia da informação,2025-04-08
Itautec,"4,3",Tecnologia da informação,2025-04-08
IOB,"4,2",Tecnologia da informação,2025-04-08
NTCONSULT,"4,4",Tecnologia da informação,2025-04-08
FIT - Instituto de Tecnologia,"4,2",Tecnologia da informação,2025-04-08
NeoAssist,"4,0",Tecnologia da informação,2025-04-08
Movile,"4,4",Tecnologia da informação,2025-04-08
AltoQi,"4,4",Tecnologia da informação,2025-04-08
Spotify,"4,0",Tecnologia da informação,2025-04-08
Programmer's - Beyond IT,"4,4",Tecnologia da informação,2025-04-08
Datadog,"4,0",Tecnologia da informação,2025-04-08
