nome,nota,setor
IBM,"4,0",Tecnologia da informação
Google,"4,3",Tecnologia da informação
Microsoft,"4,2",Tecnologia da informação
SAP,"4,2",Tecnologia da informação
Robert Bosch,"4,2",Tecnologia da informação
Mercado Livre,"4,2",Tecnologia da informação
TOTVS,"4,3",Tecnologia da informação
Thomson Reuters,"4,1",Tecnologia da informação
iFood,"4,2",Tecnologia da informação
Apple,"4,1",Tecnologia da informação
Salesforce,"4,1",Tecnologia da informação
HP Inc.,"4,1",Tecnologia da informação
Cisco,"4,1",Tecnologia da informação
Hewlett Packard Enterprise | HPE,"4,1",Tecnologia da informação
BRQ,"4,1",Tecnologia da informação
BairesDev,"4,1",Tecnologia da informação
Honeywell,"4,1",Tecnologia da informação
Zup Innovation,"4,3",Tecnologia da informação
GFT Technologies,"4,2",Tecnologia da informação
Softplan,"4,2",Tecnologia da informação
UOL,"4,2",Tecnologia da informação
Bloomberg,"4,0",Tecnologia da informação
Ambev Tech,"4,1",Tecnologia da informação
LinkedIn,"4,0",Tecnologia da informação
ClearSale,"4,2",Tecnologia da informação
BMW Group,"4,1",Tecnologia da informação
Meta IT,"4,1",Tecnologia da informação
Hotmart,"4,1",Tecnologia da informação
OLX Brasil,"4,2",Tecnologia da informação
Cast Group,"4,2",Tecnologia da informação
Motorola Solutions,"4,3",Tecnologia da informação
Senior Sistemas,"4,3",Tecnologia da informação
Encora,"4,4",Tecnologia da informação
Wellhub,"4,2",Tecnologia da informação
Booking.com,"4,0",Tecnologia da informação
Sankhya Gestão de Negócios,"4,0",Tecnologia da informação
Instituto de Pesquisas ELDORADO,"4,4",Tecnologia da informação
CWI Software,"4,4",Tecnologia da informação
RD Station,"4,2",Tecnologia da informação
Red Hat,"4,2",Tecnologia da informação
Radix Engenharia e Software,"4,4",Tecnologia da informação
99,"4,0",Tecnologia da informação
Intuit,"4,3",Tecnologia da informação
Inmetrics,"4,0",Tecnologia da informação
Simpress,"4,3",Tecnologia da informação
Centro de Estudos e Sistemas Avançados do Recife - C.E.S.A.R,"4,1",Tecnologia da informação
VTEX,"4,0",Tecnologia da informação
SAS,"4,0",Tecnologia da informação
Spread,"4,2",Tecnologia da informação
Netflix,"4,2",Tecnologia da informação
MJV Tecnologia e Inovação,"4,0",Tecnologia da informação
NAVA Technology for Business,"4,1",Tecnologia da informação
dti digital,"4,1",Tecnologia da informação
Invillia,"4,2",Tecnologia da informação
Iteris Consultoria e Software,"4,1",Tecnologia da informação
Luizalabs,"4,3",Tecnologia da informação
e-Core,"4,5",Tecnologia da informação
Adobe,"4,2",Tecnologia da informação
Cadence Design Systems,"4,2",Tecnologia da informação
Olist,"4,0",Tecnologia da informação
CTIS,"4,0",Tecnologia da informação
FCamara,"4,1",Tecnologia da informação
Sensedia,"4,2",Tecnologia da informação
Gupy,"4,1",Tecnologia da informação
EPAM Systems,"4,0",Tecnologia da informação
VMware,"4,4",Tecnologia da informação
Almaviva Solutions,"4,6",Tecnologia da informação
Locaweb,"4,0",Tecnologia da informação
Dassault Systèmes,"4,0",Tecnologia da informação
Sólides,"4,2",Tecnologia da informação
Valid,"4,2",Tecnologia da informação
F1RST Digital Services,"4,0",Tecnologia da informação
Keyrus,"4,1",Tecnologia da informação
Orange Business,"4,0",Tecnologia da informação
DB1 Group,"4,1",Tecnologia da informação
Yahoo,"4,0",Tecnologia da informação
YouTube,"4,4",Tecnologia da informação
ASAAS,"4,5",Tecnologia da informação
ServiceNow,"4,3",Tecnologia da informação
CPQD,"4,0",Tecnologia da informação
