nome,nota,setor,data_ingestao
Teleperformance,"4,3",Telecomunicações,2025-04-08
Vivo (Telefônica Brasil),"4,4",Telecomunicações,2025-04-08
Claro,"4,0",Telecomunicações,2025-04-08
Foundever,"4,0",Telecomunicações,2025-04-08
TIM BRASIL,"4,1",Telecomunicações,2025-04-08
Ericsson-Worldwide,"4,0",Telecomunicações,2025-04-08
Nokia,"4,0",Telecomunicações,2025-04-08
Telefónica,"4,1",Telecomunicações,2025-04-08
Algar Telecom,"4,3",Telecomunicações,2025-04-08
Orange,"4,0",Telecomunicações,2025-04-08
Pulse Client Experts,"4,2",Telecomunicações,2025-04-08
Net Serviços de Comunicação,"4,2",Telecomunicações,2025-04-08
Embratel,"4,1",Telecomunicações,2025-04-08
Ciena,"4,2",Telecomunicações,2025-04-08
OI SA,"4,1",Telecomunicações,2025-04-08
Juniper Networks,"4,1",Telecomunicações,2025-04-08
Deutsche Telekom,"4,0",Telecomunicações,2025-04-08
GVT,"4,1",Telecomunicações,2025-04-08
Valenet,"4,0",Telecomunicações,2025-04-08
Instituto Euvaldo Lodi,"4,0",Telecomunicações,2025-04-08
Beecenter Soluções em call Center,"4,0",Telecomunicações,2025-04-08
RDI,"4,2",Telecomunicações,2025-04-08
Datora Telecom,"4,2",Telecomunicações,2025-04-08
Telstra,"4,0",Telecomunicações,2025-04-08
Jio,"4,4",Telecomunicações,2025-04-08
IDT,"4,2",Telecomunicações,2025-04-08
Vivensis,"4,3",Telecomunicações,2025-04-08
América Móvil,"4,1",Telecomunicações,2025-04-08
Globe Telecom,"4,1",Telecomunicações,2025-04-08
ABR Telecom,"4,3",Telecomunicações,2025-04-08
Entel,"4,1",Telecomunicações,2025-04-08
Somos,"4,7",Telecomunicações,2025-04-08
Eletronet,"4,0",Telecomunicações,2025-04-08
Sitelbra Telecomunicações,"4,3",Telecomunicações,2025-04-08
Online Telecom,"4,0",Telecomunicações,2025-04-08
FiBrasil São Paulo (Brazil),"4,1",Telecomunicações,2025-04-08
Leucotron,"4,1",Telecomunicações,2025-04-08
Arcor,"4,3",Telecomunicações,2025-04-08
APWireless,"4,3",Telecomunicações,2025-04-08
Dialog Axiata,"4,0",Telecomunicações,2025-04-08
AnywhereWorks,"4,3",Telecomunicações,2025-04-08
Voce Telecomunicacoes,"4,0",Telecomunicações,2025-04-08
Bouygues Telecom,"4,0",Telecomunicações,2025-04-08
3C Plus,"4,0",Telecomunicações,2025-04-08
FPT,"4,0",Telecomunicações,2025-04-08
Airalo,"4,0",Telecomunicações,2025-04-08
Telenor,"4,0",Telecomunicações,2025-04-08
Gilat Satellite Networks,"4,2",Telecomunicações,2025-04-08
Netcon,"4,1",Telecomunicações,2025-04-08
GOSAT,"4,7",Telecomunicações,2025-04-08
VirteX Telecom,"4,4",Telecomunicações,2025-04-08
G3 Telecom,"4,0",Telecomunicações,2025-04-08
DGC,"4,1",Telecomunicações,2025-04-08
Naxi Fibra,"4,5",Telecomunicações,2025-04-08
Yahsat,"4,0",Telecomunicações,2025-04-08
VC-X Solutions,"4,6",Telecomunicações,2025-04-08
Freedom Mobile,"4,0",Telecomunicações,2025-04-08
Primus,"4,1",Telecomunicações,2025-04-08
Finnet,"4,3",Telecomunicações,2025-04-08
InterNexa Brasil,"4,3",Telecomunicações,2025-04-08
Global Technologies,"4,1",Telecomunicações,2025-04-08
Gurtam,"4,1",Telecomunicações,2025-04-08
GSMA,"4,0",Telecomunicações,2025-04-08
Celcom,"4,2",Telecomunicações,2025-04-08
telent,"4,1",Telecomunicações,2025-04-08
Frequentis,"4,1",Telecomunicações,2025-04-08
Arbeit Software,"4,1",Telecomunicações,2025-04-08
Jazz,"4,3",Telecomunicações,2025-04-08
Infolink Telecom,"4,1",Telecomunicações,2025-04-08
Mobile Solutions,"4,0",Telecomunicações,2025-04-08
Megalink Telecom,"4,3",Telecomunicações,2025-04-08
Electroson Telecomunicación,"4,2",Telecomunicações,2025-04-08
Tapi,"4,5",Telecomunicações,2025-04-08
Rostelecom,"4,0",Telecomunicações,2025-04-08
AnswerFirst,"4,5",Telecomunicações,2025-04-08
Total Access Communications,"4,1",Telecomunicações,2025-04-08
Asssociated Community Services,"4,2",Telecomunicações,2025-04-08
Agility Telecom,"4,1",Telecomunicações,2025-04-08
NovoTel,"4,1",Telecomunicações,2025-04-08
