nome,nota,setor,data_ingestao
Riot Games,"4,1",Videogames,2025-04-08
Electronic Arts,"4,1",Videogames,2025-04-08
PlayStation,"4,0",Videogames,2025-04-08
Aquiris Game Studio,"4,2",Videogames,2025-04-08
Gazeus Games,"4,2",Videogames,2025-04-08
Fortis Games,"4,0",Videogames,2025-04-08
IGG,"4,5",Videogames,2025-04-08
Manifesto Game Studio,"4,4",Videogames,2025-04-08
INSANE,"4,2",Videogames,2025-04-08
InnoGames,"4,2",Videogames,2025-04-08
Zynga,"4,2",Videogames,2025-04-08
Chess.com,"4,5",Videogames,2025-04-08
Supercell,"4,1",Videogames,2025-04-08
The Pokémon Company International,"4,1",Videogames,2025-04-08
Pocket Gems,"4,3",Videogames,2025-04-08
Valve Corporation,"4,6",Videogames,2025-04-08
Rivalry,"4,6",Videogames,2025-04-08
Nintendo of America,"4,0",Videogames,2025-04-08
Wooga,"4,5",Videogames,2025-04-08
Virtuos,"4,4",Videogames,2025-04-08
Level Up!,"4,2",Videogames,2025-04-08
EA Sports,"4,1",Videogames,2025-04-08
Nintendo,"4,3",Videogames,2025-04-08
NEXON,"4,1",Videogames,2025-04-08
Softsol,"4,0",Videogames,2025-04-08
Santa Monica Studio,"4,3",Videogames,2025-04-08
PUBG,"4,3",Videogames,2025-04-08
Toca Boca,"4,5",Videogames,2025-04-08
TLM Partners,"4,0",Videogames,2025-04-08
PlayQ,"4,7",Videogames,2025-04-08
Rogue Snail,"4,3",Videogames,2025-04-08
social sweethearts,"4,4",Videogames,2025-04-08
Tales,"4,4",Videogames,2025-04-08
XII Braves,"4,1",Videogames,2025-04-08
Dream Harvest,"4,9",Videogames,2025-04-08
Redfox Games,"4,1",Videogames,2025-04-08
Mimimi Games,"4,5",Videogames,2025-04-08
Hello Games,"4,7",Videogames,2025-04-08
GSM Bahia,"4,0",Videogames,2025-04-08
Pinpin Team,"4,5",Videogames,2025-04-08
Large Animal Games,"4,3",Videogames,2025-04-08
Playlore,"4,1",Videogames,2025-04-08
Black Dragon,"5,0",Videogames,2025-04-08
Gameblox Interactive,"4,7",Videogames,2025-04-08
Overplay,"4,5",Videogames,2025-04-08
Ecoplay,"4,0",Videogames,2025-04-08
Mobjoy,"5,0",Videogames,2025-04-08
Multiverse Network,"5,0",Videogames,2025-04-08
Pahca Games,"5,0",Videogames,2025-04-08
Warmane,"5,0",Videogames,2025-04-08
