nome,nota,setor,data_ingestao,link
Symphony (Brazil),5.0,Viveiros_Agricolas,2025-04-08,
Via Energy,5.0,Energia_E_Servicos_Publicos,2025-04-08,
Link Benefícios,5.0,Energia_E_Servicos_Publicos,2025-04-08,
Utilicast,5.0,Energia_E_Servicos_Publicos,2025-04-08,
Terral,5.0,Energia_E_Servicos_Publicos,2025-04-08,
beecrowd,5.0,Recrutamento_E_Terceirizacao,2025-04-08,
SRC Energy,5.0,Energia_E_Servicos_Publicos,2025-04-08,
MZ Promoções,5.0,Recrutamento_E_Terceirizacao,2025-04-08,
I.m.i.s.,5.0,Recrutamento_E_Terceirizacao,2025-04-08,
Grupo Vila Rica Portarias,5.0,Recrutamento_E_Terceirizacao,2025-04-08,
R.H. Personalmanagement,5.0,Recrutamento_E_Terceirizacao,2025-04-08,
Lab Dicas Jornalismo,5.0,Radio_E_Televisao,2025-04-08,
Melhor RH,5.0,Radio_E_Televisao,2025-04-08,
UnivFilms,5.0,Radio_E_Televisao,2025-04-08,
Mais Brasileira Serviços Inteligentes,5.0,Recursos_Humanos_E_Pessoal,2025-04-08,
Workoast,5.0,Recursos_Humanos_E_Pessoal,2025-04-08,
Exprhess,5.0,Recursos_Humanos_E_Pessoal,2025-04-08,
Grupo Assecom,5.0,Recursos_Humanos_E_Pessoal,2025-04-08,
Real Valor Serviços,5.0,Recursos_Humanos_E_Pessoal,2025-04-08,
Finesse Auto,5.0,Reparo_E_Limpeza_De_Veiculos,2025-04-08,
Hidraucambio Lajeado,5.0,Reparo_E_Limpeza_De_Veiculos,2025-04-08,
Bodymotion,5.0,Reparo_E_Limpeza_De_Veiculos,2025-04-08,
Gominha Pneus ltda.,5.0,Reparo_E_Limpeza_De_Veiculos,2025-04-08,
H P Motors,5.0,Reparo_E_Limpeza_De_Veiculos,2025-04-08,
Esaúde Marketing,5.0,Radio_E_Televisao,2025-04-08,
Pardal Vic,5.0,Reparo_Geral_E_Manutencao,2025-04-08,
Sweethome,5.0,Producao_De_Bens_De_Consumo,2025-04-08,
Giratur Transportes,5.0,Entrega_De_Mercadorias,2025-04-08,
Vidranno Temper,5.0,Producao_De_Bens_De_Consumo,2025-04-08,
Tempera Carbone,5.0,Producao_De_Bens_De_Consumo,2025-04-08,
Brastampas,5.0,Producao_De_Bens_De_Consumo,2025-04-08,
Dellas,5.0,Producao_De_Bens_De_Consumo,2025-04-08,
